,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[2, -27, -3]",[-3],81,81,25,324,0.012345679012345678,162,-3,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
11,"[0, 10, -2, 0]","[-2, 0, 0, 10]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 10, -2, 0, 2]","[0, -2, 0]",0,0,0,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-24, -25, -17, 23, 11, -23, -2, 7, -15]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 7, -15, 11, -23, -24, 2, -2, -25]","[-17, 23, 7, 11, -23, -24, -2, -25]",12464298000,12464298000,0,6381720576000,8.022914728129894e-11,24928596000,-830953200,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
13,"[-5, -20, -6, -3, -5, -11, -25]","[-5, -11, -6, -5, -3, -20, -25]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, -20, -6, -3, -5, -11, 2, -25]","[-5, -20, -3, -5, -11, -25]",-2475000,-2475000,-134136,-316800000,-4.040404040404042e-07,-4950000,412500,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[3, -18, -11, 6, 12, 10, 8, -18, 8, -3, -19, -24, -6]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 8, 2, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-24, -11, 8, -18, 12, -18, -19, 10, 3, 6, -3, -6]",-4043977850880,-4043977850880,-2316238848000,-33128266554408960,-2.4728127523804123e-13,-8087955701760,-505497231360,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
15,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[-7, 17, -18, -1, 5, -2, -25, -27]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[-27, 2, -2, -18, -1, -7, 17, 5, -25]","[-27, -2, -18, -7, 17, 5, -25]",14458500,14458500,0,3701376000,6.916346785627831e-08,28917000,-14458500,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[-16, -2, -29, 18, 2, -11, -13, 21, -20]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 21, 18, -20, -29, -2, 2, 2, -11, -16]","[-13, 21, 18, -20, -2, 2, -11, -16]",2006484480,2006484480,0,1027320053760,4.983841190737743e-10,4012968960,-69189120,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
18,"[15, -28, 21, -27, -3, -6, -27]","[-27, -6, -28, 21, 15, -3, -27]","[17, -26, 23, -25, -1, -4, -25]","[30, -56, 42, -54, -6, -12, -54]","[0.06666666666666667, -0.03571428571428571, 0.047619047619047616, -0.037037037037037035, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035]","[15, -28, 21, -27, 2, -3, -6, -27]","[15, -28, 21, -27, -3, -6]",-115736040,-115736040,-25415000,-14814213120,-8.640350922668512e-09,-231472080,4286520,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
19,"[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[-25, -9, -24, 14, -21, -25, 23, 14, 24, -4, -16, -16]","[-2, -23, 26, 16, 25, -14, -19, -22, -14, -23, -7, 16]","[-8, -50, 48, 28, 46, -32, -42, -48, -32, -50, -18, 28]","[-0.25, -0.04, 0.041666666666666664, 0.07142857142857142, 0.043478260869565216, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.0625, -0.04, -0.1111111111111111, 0.07142857142857142]","[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 2, 14]","[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, 14]",314085703680000,314085703680000,100964658995200,1286495042273280000,3.1838443720406645e-15,628171407360000,-34898411520000,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
20,"[-9, -3, 0, 17, -10, 9]","[-3, 0, -9, -10, 9, 17]","[-7, -1, 2, 19, -8, 11]","[-18, -6, 0, 34, -20, 18]","[-0.1111111111111111, -0.3333333333333333, 'ZeroDivisionError', 0.058823529411764705, -0.1, 0.1111111111111111]","[-9, -3, 0, 17, 2, -10, 9]","[-9, -3, 0, -10, 9]",0,0,-23408,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
21,"[-17, -9, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[-16, 18, -4, -25, 2, -17, 0, -14, -24, 5, -19, -9, -17]","[-15, -7, 7, -12, 4, -17, -2, 2, -15, -22, -23, 20, -14]","[-34, -18, 10, -28, 4, -38, -8, 0, -34, -48, -50, 36, -32]","[-0.058823529411764705, -0.1111111111111111, 0.2, -0.07142857142857142, 0.5, -0.05263157894736842, -0.25, 'ZeroDivisionError', -0.058823529411764705, -0.041666666666666664, -0.04, 0.05555555555555555, -0.0625]","[-17, -9, 2, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[-17, -9, 5, -14, 2, -19, -4, -17, -24, -25, 18, -16]",0,0,-5098439808000,0,error,0,-4782177792000,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
22,"[11, -23, 0, 8, -25, -6, 1, 5, -4, -15, 3, 6, -22]","[-25, 3, 5, 8, -15, -22, -4, 0, -23, 11, -6, 6, 1]","[13, -21, 2, 10, -23, -4, 3, 7, -2, -13, 5, 8, -20]","[22, -46, 0, 16, -50, -12, 2, 10, -8, -30, 6, 12, -44]","[0.09090909090909091, -0.043478260869565216, 'ZeroDivisionError', 0.125, -0.04, -0.16666666666666666, 1.0, 0.2, -0.25, -0.06666666666666667, 0.3333333333333333, 0.16666666666666666, -0.045454545454545456]","[11, -23, 0, 8, -25, -6, 1, 2, 5, -4, -15, 3, 6, -22]","[11, -23, 0, 8, -25, -6, 1, 5, -4, -15, 3, 6]",0,0,219413376000,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
23,"[-22, 27, -23, -22, 16, 10, 18, 23, 5, 19, 1, 16, -5]","[5, -23, -22, 1, 23, 16, 18, 16, 27, 19, -5, 10, -22]","[-20, 29, -21, -20, 18, 12, 20, 25, 7, 21, 3, 18, -3]","[-44, 54, -46, -44, 32, 20, 36, 46, 10, 38, 2, 32, -10]","[-0.045454545454545456, 0.037037037037037035, -0.043478260869565216, -0.045454545454545456, 0.0625, 0.1, 0.05555555555555555, 0.043478260869565216, 0.2, 0.05263157894736842, 1.0, 0.0625, -0.2]","[-22, 27, -23, -22, 16, 10, 18, 2, 23, 5, 19, 1, 16, -5]","[-22, 27, -23, -22, 16, 10, 18, 5, 19, 1, 16, -5]",151311131136000,151311131136000,626517763200000,1239540786266112000,6.608899110675406e-15,302622262272000,6578744832000,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
24,"[2, -2, 29, 18, 29, 6, 22, 4, 19, 1, 31]","[2, 4, 22, -2, 29, 29, 6, 31, 19, 18, 1]","[4, 0, 31, 20, 31, 8, 24, 6, 21, 3, 33]","[4, -4, 58, 36, 58, 12, 44, 8, 38, 2, 62]","[0.5, -0.5, 0.034482758620689655, 0.05555555555555555, 0.034482758620689655, 0.16666666666666666, 0.045454545454545456, 0.25, 0.05263157894736842, 1.0, 0.03225806451612903]","[2, -2, 29, 18, 29, 6, 22, 2, 4, 19, 1, 31]","[2, -2, 29, 29, 6, 22, 4, 19, 1, 31]",-18831187584,-18831187584,0,-38566272172032,-5.3103395393376795e-11,-37662375168,-1046177088,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
25,"[-17, -11, 23, 16, 9, 16, 12]","[12, 9, -17, 16, -11, 23, 16]","[-15, -9, 25, 18, 11, 18, 14]","[-34, -22, 46, 32, 18, 32, 24]","[-0.058823529411764705, -0.09090909090909091, 0.043478260869565216, 0.0625, 0.1111111111111111, 0.0625, 0.08333333333333333]","[-17, -11, 23, 2, 16, 9, 16, 12]","[-17, -11, 16, 9, 16, 12]",118914048,118914048,168399000,15220998144,8.409435359563235e-09,237828096,5170176,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
26,"[14, 4, 13, -15, 12, 0, -8]","[14, 13, -8, -15, 4, 12, 0]","[16, 6, 15, -13, 14, 2, -6]","[28, 8, 26, -30, 24, 0, -16]","[0.07142857142857142, 0.25, 0.07692307692307693, -0.06666666666666667, 0.08333333333333333, 'ZeroDivisionError', -0.125]","[14, 4, 13, -15, 2, 12, 0, -8]","[14, 4, 13, -15, 12, 0]",0,0,3144960,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
27,"[-17, 10, -28, -7, -9, 11, -23, -1, -4, -15, 21]","[-28, 10, -17, 11, -23, -1, 21, -15, -9, -7, -4]","[-15, 12, -26, -5, -7, 13, -21, 1, -2, -13, 23]","[-34, 20, -56, -14, -18, 22, -46, -2, -8, -30, 42]","[-0.058823529411764705, 0.1, -0.03571428571428571, -0.14285714285714285, -0.1111111111111111, 0.09090909090909091, -0.043478260869565216, -1.0, -0.25, -0.06666666666666667, 0.047619047619047616]","[-17, 10, -28, 2, -7, -9, 11, -23, -1, -4, -15, 21]","[-17, 10, -28, -7, -9, 11, -1, -4, -15, 21]",95595746400,95595746400,-26741005200,195780088627200,1.046071648225553e-11,191191492800,-4156336800,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
28,"[-9, -25]","[-25, -9]","[-7, -23]","[-18, -50]","[-0.1111111111111111, -0.04]","[-9, -25, 2]",[-25],225,225,161,900,0.0044444444444444444,450,-25,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
29,"[-15, 0, 10, 0, -14, 13]","[-15, 0, 0, 10, 13, -14]","[-13, 2, 12, 2, -12, 15]","[-30, 0, 20, 0, -28, 26]","[-0.06666666666666667, 'ZeroDivisionError', 0.1, 'ZeroDivisionError', -0.07142857142857142, 0.07692307692307693]","[-15, 0, 10, 2, 0, -14, 13]","[-15, 0, 0, -14, 13]",0,0,112320,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
30,"[25, 26, 7, 14, 23]","[7, 14, 23, 26, 25]","[27, 28, 9, 16, 25]","[50, 52, 14, 28, 46]","[0.04, 0.038461538461538464, 0.14285714285714285, 0.07142857142857142, 0.043478260869565216]","[25, 26, 7, 14, 2, 23]","[25, 7, 14, 23]",1465100,1465100,2721600,46883200,6.825472663981982e-07,2930200,56350,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
31,"[4, -22, 2, -12, 3, -12, -13, -19, 15, -17]","[-12, 15, 2, -13, -22, 4, -17, 3, -12, -19]","[6, -20, 4, -10, 5, -10, -11, -17, 17, -15]","[8, -44, 4, -24, 6, -24, -26, -38, 30, -34]","[0.25, -0.045454545454545456, 0.5, -0.08333333333333333, 0.3333333333333333, -0.08333333333333333, -0.07692307692307693, -0.05263157894736842, 0.06666666666666667, -0.058823529411764705]","[4, -22, 2, -12, 2, 3, -12, -13, -19, 15, -17]","[4, -22, 2, -12, 3, -12, -19, 15, -17]",4788875520,4788875520,11444400000,4903808532480,2.0881728828065253e-10,9577751040,-368375040,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
32,"[12, -17, -3, -20]","[-3, -20, 12, -17]","[14, -15, -1, -18]","[24, -34, -6, -40]","[0.08333333333333333, -0.058823529411764705, -0.3333333333333333, -0.05]","[12, 2, -17, -3, -20]","[12, -17, -3]",-12240,-12240,-3780,-195840,-8.169934640522875e-05,-24480,612,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
33,"[14, 24, -5, -21, 26, 22, -3, -15]","[-3, 22, 26, 14, 24, -5, -15, -21]","[16, 26, -3, -19, 28, 24, -1, -13]","[28, 48, -10, -42, 52, 44, -6, -30]","[0.07142857142857142, 0.041666666666666664, -0.2, -0.047619047619047616, 0.038461538461538464, 0.045454545454545456, -0.3333333333333333, -0.06666666666666667]","[14, 24, -5, -21, 26, 22, 2, -3, -15]","[24, -5, -21, 26, 22, -3, -15]",908107200,908107200,207148032,232475443200,1.1011915773820536e-09,1816214400,64864800,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
34,"[11, 19, 22, -2, -3, -13, 3, 24, -3, -1, 7]","[22, 7, -13, -2, 19, -3, 11, -1, -3, 24, 3]","[13, 21, 24, 0, -1, -11, 5, 26, -1, 1, 9]","[22, 38, 44, -4, -6, -26, 6, 48, -6, -2, 14]","[0.09090909090909091, 0.05263157894736842, 0.045454545454545456, -0.5, -0.3333333333333333, -0.07692307692307693, 0.3333333333333333, 0.041666666666666664, -0.3333333333333333, -1.0, 0.14285714285714285]","[11, 19, 22, -2, -3, -13, 3, 2, 24, -3, -1, 7]","[11, 19, 22, -2, -3, -13, 3, -3, -1, 7]",-542269728,-542269728,0,-1110568402944,-1.8441007276732952e-09,-1084539456,-22594572,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
35,"[6, -13]","[-13, 6]","[8, -11]","[12, -26]","[0.16666666666666666, -0.07692307692307693]","[2, 6, -13]",[6],-78,-78,-88,-312,-0.01282051282051282,-156,6,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
36,"[-30, 11, -8, 0, -30, 11]","[-30, -30, 0, 11, 11, -8]","[-28, 13, -6, 2, -28, 13]","[-60, 22, -16, 0, -60, 22]","[-0.03333333333333333, 0.09090909090909091, -0.125, 'ZeroDivisionError', -0.03333333333333333, 0.09090909090909091]","[2, -30, 11, -8, 0, -30, 11]","[-30, -8, 0, -30, 11]",0,0,-1589952,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
37,"[15, 9, 9, -17, 6, 19, 4, -9, 21, 12, 11, 19, 20, 12]","[-9, 11, 4, 15, 9, -17, 6, 19, 9, 19, 12, 21, 12, 20]","[17, 11, 11, -15, 8, 21, 6, -7, 23, 14, 13, 21, 22, 14]","[30, 18, 18, -34, 12, 38, 8, -18, 42, 24, 22, 38, 40, 24]","[0.06666666666666667, 0.1111111111111111, 0.1111111111111111, -0.058823529411764705, 0.16666666666666666, 0.05263157894736842, 0.25, -0.1111111111111111, 0.047619047619047616, 0.08333333333333333, 0.09090909090909091, 0.05263157894736842, 0.05, 0.08333333333333333]","[15, 9, 9, -17, 6, 2, 19, 4, -9, 21, 12, 11, 19, 20, 12]","[15, 9, -17, 6, 19, 4, -9, 21, 12, 11, 19, 20, 12]",1071496162598400,1071496162598400,5894586676218240,17555393128012185600,9.332744576284615e-16,2142992325196800,119055129177600,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
38,"[-32, -23, 19, 22, 15, -5, -19]","[-5, -19, 22, 15, -23, -32, 19]","[-30, -21, 21, 24, 17, -3, -17]","[-64, -46, 38, 44, 30, -10, -38]","[-0.03125, -0.043478260869565216, 0.05263157894736842, 0.045454545454545456, 0.06666666666666667, -0.2, -0.05263157894736842]","[-32, -23, 19, 22, 2, 15, -5, -19]","[-32, -23, 19, 22, 15, -5]",438398400,438398400,275289840,56114995200,2.281030222738039e-09,876796800,-23073600,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
39,"[-14, -16, 13, -18, -10]","[-14, 13, -18, -16, -10]","[-12, -14, 15, -16, -8]","[-28, -32, 26, -36, -20]","[-0.07142857142857142, -0.0625, 0.07692307692307693, -0.05555555555555555, -0.1]","[2, -14, -16, 13, -18, -10]","[-14, 13, -18, -10]",524160,524160,322560,16773120,1.907814407814408e-06,1048320,-32760,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
40,"[9, -4, -3, 20, -15, -15, 27]","[20, -15, -3, -15, 27, 9, -4]","[11, -2, -1, 22, -13, -13, 29]","[18, -8, -6, 40, -30, -30, 54]","[0.1111111111111111, -0.25, -0.3333333333333333, 0.05, -0.06666666666666667, -0.06666666666666667, 0.037037037037037035]","[9, -4, -3, 20, -15, 2, -15, 27]","[9, -4, -3, 20, -15, -15]",13122000,13122000,2372084,1679616000,7.620789513793629e-08,26244000,486000,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
41,"[-16, 24, -1, -8, 16, -1]","[16, -8, -1, 24, -16, -1]","[-14, 26, 1, -6, 18, 1]","[-32, 48, -2, -16, 32, -2]","[-0.0625, 0.041666666666666664, -1.0, -0.125, 0.0625, -1.0]","[-16, 2, 24, -1, -8, 16, -1]","[-16, 24, -1, -8, 16]",49152,49152,39312,3145728,2.0345052083333332e-05,98304,-49152,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
42,"[-1, 13, 22, -9, 27, 0]","[13, 0, 27, -1, -9, 22]","[1, 15, 24, -7, 29, 2]","[-2, 26, 44, -18, 54, 0]","[-1.0, 0.07692307692307693, 0.045454545454545456, -0.1111111111111111, 0.037037037037037035, 'ZeroDivisionError']","[-1, 13, 22, -9, 27, 0, 2]","[-1, 13, 22, -9, 0]",0,0,-146160,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
43,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
44,"[1, 26, 22, -10, 20, 4]","[4, -10, 26, 20, 1, 22]","[3, 28, 24, -8, 22, 6]","[2, 52, 44, -20, 40, 8]","[1.0, 0.038461538461538464, 0.045454545454545456, -0.1, 0.05, 0.25]","[1, 26, 2, 22, -10, 20, 4]","[1, 22, -10, 20, 4]",-457600,-457600,-2128896,-29286400,-2.1853146853146857e-06,-915200,-17600,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
45,[5],[5],[7],[10],[0.2],"[5, 2]",[],5,5,7,10,0.2,10,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
46,"[-12, 23, 0, -16, 2, -6, -5]","[2, -5, -6, -16, -12, 23, 0]","[-10, 25, 2, -14, 4, -4, -3]","[-24, 46, 0, -32, 4, -12, -10]","[-0.08333333333333333, 0.043478260869565216, 'ZeroDivisionError', -0.0625, 0.5, -0.16666666666666666, -0.2]","[-12, 23, 0, -16, 2, 2, -6, -5]","[23, 0, -16, 2, -6, -5]",0,0,336000,0,error,0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
47,"[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 19, -1]","[19, 8, -1, 25, 10, 25, 11, 21, -17, 7, 6, 5]","[13, 10, 12, 9, -15, 27, 7, 23, 27, 8, 21, 1]","[22, 16, 20, 14, -34, 50, 10, 42, 50, 12, 38, -2]","[0.09090909090909091, 0.125, 0.1, 0.14285714285714285, -0.058823529411764705, 0.04, 0.2, 0.047619047619047616, 0.04, 0.16666666666666666, 0.05263157894736842, -1.0]","[11, 8, 10, 7, -17, 25, 2, 5, 21, 25, 6, 19, -1]","[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 19]",783436500000,783436500000,-4152609115200,3208955904000000,1.2764276364453279e-12,1566873000000,-783436500000,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
48,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
49,"[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22]","[-10, -10, -5, 3, -10, 1, 20, 7, 22, 0, 14, 16, -7]","[9, 5, -5, -8, -8, 22, 16, -3, -8, 2, 18, 3, 24]","[14, 6, -14, -20, -20, 40, 28, -10, -20, 0, 32, 2, 44]","[0.14285714285714285, 0.3333333333333333, -0.14285714285714285, -0.1, -0.1, 0.05, 0.07142857142857142, -0.2, -0.1, 'ZeroDivisionError', 0.0625, 1.0, 0.045454545454545456]","[2, 7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22]","[7, 3, -7, -10, -10, 20, -5, -10, 0, 16, 1, 22]",0,0,-315319910400,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
50,"[20, -17, 6]","[6, -17, 20]","[22, -15, 8]","[40, -34, 12]","[0.05, -0.058823529411764705, 0.16666666666666666]","[20, -17, 6, 2]","[-17, 6]",-2040,-2040,-2640,-16320,-0.0004901960784313725,-4080,-102,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
