,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[-27, 2, -3]",[-27],-27,-27,-25,-54,-0.3333333333333333,-27,-27,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
11,"[0, 10, -2, 0]","[0, 10, 0, -2]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 2, 10, -2, 0]","[10, -2, 0]",-2,-2,0,-4,error,-2,-2,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-15, 7, -17, -23, 23, 11, -25, -24, -2]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 2, 7, -15, 11, -23, -24, -2, -25]","[-17, 23, 7, -15, 11, -23, -2, -25]",-25,-25,-23,-50,-0.5,-25,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
13,"[-5, -20, -6, -3, -5, -11, -25]","[-20, -25, -11, -5, -6, -3, -5]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, -20, -6, -3, -5, -11, 2, -25]","[-5, -6, -3, -5, -11, -25]",-25,-25,-23,-50,-0.3333333333333333,-25,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-3, -24, -18, 6, 3, 12, -18, -11, -6, -19, 10, 8, 8]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 8, 2, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3]",-24,-24,-22,-48,-0.3333333333333333,-24,-24,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
15,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[17, -18, -2, -27, 5, -1, -7, -25]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[2, -27, -2, -18, -1, -7, 17, 5, -25]","[-27, -18, -1, -7, 17, 5, -25]",-27,-27,-25,-54,-1.0,-27,-27,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[-11, 21, -20, 2, -2, -29, -13, 18, -16]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 21, 2, 18, -20, -29, -2, 2, -11, -16]","[-13, 21, -20, -29, -2, 2, -11, -16]",-29,-29,-27,-58,-0.5,-29,-29,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
18,"[15, -28, 21, -27, -3, -6, -27]","[-27, -6, 15, -28, -27, -3, 21]","[17, -26, 23, -25, -1, -4, -25]","[30, -56, 42, -54, -6, -12, -54]","[0.06666666666666667, -0.03571428571428571, 0.047619047619047616, -0.037037037037037035, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035]","[15, -28, 2, 21, -27, -3, -6, -27]","[-28, 21, -27, -3, -6, -27]",-28,-28,-26,-56,-0.3333333333333333,-28,-28,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
19,"[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[23, -21, -24, -16, -25, 24, -16, 14, 14, -9, -25, -4]","[-2, -23, 26, 16, 25, -14, -19, -22, -14, -23, -7, 16]","[-8, -50, 48, 28, 46, -32, -42, -48, -32, -50, -18, 28]","[-0.25, -0.04, 0.041666666666666664, 0.07142857142857142, 0.043478260869565216, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.0625, -0.04, -0.1111111111111111, 0.07142857142857142]","[-4, -25, 24, 14, 2, 23, -16, -21, -24, -16, -25, -9, 14]","[-4, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]",-25,-25,-23,-50,-0.25,-25,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
20,"[-9, -3, 0, 17, -10, 9]","[17, -3, 0, 9, -10, -9]","[-7, -1, 2, 19, -8, 11]","[-18, -6, 0, 34, -20, 18]","[-0.1111111111111111, -0.3333333333333333, 'ZeroDivisionError', 0.058823529411764705, -0.1, 0.1111111111111111]","[-9, 2, -3, 0, 17, -10, 9]","[-9, -3, 0, -10, 9]",-10,-10,-8,-20,error,-10,-10,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
21,"[-17, -9, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[0, -9, -17, -4, -17, -25, 18, -16, -14, 5, -19, -24, 2]","[-15, -7, 7, -12, 4, -17, -2, 2, -15, -22, -23, 20, -14]","[-34, -18, 10, -28, 4, -38, -8, 0, -34, -48, -50, 36, -32]","[-0.058823529411764705, -0.1111111111111111, 0.2, -0.07142857142857142, 0.5, -0.05263157894736842, -0.25, 'ZeroDivisionError', -0.058823529411764705, -0.041666666666666664, -0.04, 0.05555555555555555, -0.0625]","[-17, -9, 2, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[-17, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]",-25,-25,-23,-50,error,-25,-25,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
22,"[11, -23, 0, 8, -25, -6, 1, 5, -4, -15, 3, 6, -22]","[6, 8, -4, -23, 0, -22, -15, 11, -6, 5, 3, 1, -25]","[13, -21, 2, 10, -23, -4, 3, 7, -2, -13, 5, 8, -20]","[22, -46, 0, 16, -50, -12, 2, 10, -8, -30, 6, 12, -44]","[0.09090909090909091, -0.043478260869565216, 'ZeroDivisionError', 0.125, -0.04, -0.16666666666666666, 1.0, 0.2, -0.25, -0.06666666666666667, 0.3333333333333333, 0.16666666666666666, -0.045454545454545456]","[11, -23, 0, 8, -25, -6, 1, 5, -4, 2, -15, 3, 6, -22]","[-23, 0, 8, -25, -6, 1, 5, -4, -15, 3, 6, -22]",-25,-25,-23,-50,error,-25,-25,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
23,"[-22, 27, -23, -22, 16, 10, 18, 23, 5, 19, 1, 16, -5]","[10, 16, 27, -22, -23, -5, -22, 1, 5, 18, 16, 19, 23]","[-20, 29, -21, -20, 18, 12, 20, 25, 7, 21, 3, 18, -3]","[-44, 54, -46, -44, 32, 20, 36, 46, 10, 38, 2, 32, -10]","[-0.045454545454545456, 0.037037037037037035, -0.043478260869565216, -0.045454545454545456, 0.0625, 0.1, 0.05555555555555555, 0.043478260869565216, 0.2, 0.05263157894736842, 1.0, 0.0625, -0.2]","[-22, 27, -23, -22, 16, 10, 18, 23, 2, 5, 19, 1, 16, -5]","[-22, 27, -23, -22, 16, 18, 23, 5, 19, 1, 16, -5]",-23,-23,-21,-46,-0.2,-23,-23,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
24,"[2, -2, 29, 18, 29, 6, 22, 4, 19, 1, 31]","[2, 18, 29, 19, 22, -2, 4, 29, 6, 1, 31]","[4, 0, 31, 20, 31, 8, 24, 6, 21, 3, 33]","[4, -4, 58, 36, 58, 12, 44, 8, 38, 2, 62]","[0.5, -0.5, 0.034482758620689655, 0.05555555555555555, 0.034482758620689655, 0.16666666666666666, 0.045454545454545456, 0.25, 0.05263157894736842, 1.0, 0.03225806451612903]","[2, -2, 29, 18, 29, 6, 22, 4, 19, 1, 31, 2]","[2, -2, 29, 29, 6, 22, 4, 19, 1, 31]",-2,-2,0,-4,-0.5,-2,-2,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
25,"[-17, -11, 23, 16, 9, 16, 12]","[-11, 9, 12, -17, 16, 16, 23]","[-15, -9, 25, 18, 11, 18, 14]","[-34, -22, 46, 32, 18, 32, 24]","[-0.058823529411764705, -0.09090909090909091, 0.043478260869565216, 0.0625, 0.1111111111111111, 0.0625, 0.08333333333333333]","[-17, -11, 23, 16, 9, 16, 2, 12]","[-17, -11, 23, 16, 9, 16]",-17,-17,-15,-34,-0.09090909090909091,-17,-17,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
26,"[14, 4, 13, -15, 12, 0, -8]","[-8, 14, -15, 12, 4, 0, 13]","[16, 6, 15, -13, 14, 2, -6]","[28, 8, 26, -30, 24, 0, -16]","[0.07142857142857142, 0.25, 0.07692307692307693, -0.06666666666666667, 0.08333333333333333, 'ZeroDivisionError', -0.125]","[2, 14, 4, 13, -15, 12, 0, -8]","[14, 4, 13, -15, 12, -8]",-15,-15,-13,-30,error,-15,-15,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
27,"[-17, 10, -28, -7, -9, 11, -23, -1, -4, -15, 21]","[-9, -28, -4, 11, -1, -23, 10, 21, -7, -15, -17]","[-15, 12, -26, -5, -7, 13, -21, 1, -2, -13, 23]","[-34, 20, -56, -14, -18, 22, -46, -2, -8, -30, 42]","[-0.058823529411764705, 0.1, -0.03571428571428571, -0.14285714285714285, -0.1111111111111111, 0.09090909090909091, -0.043478260869565216, -1.0, -0.25, -0.06666666666666667, 0.047619047619047616]","[2, -17, 10, -28, -7, -9, 11, -23, -1, -4, -15, 21]","[-17, 10, -28, -7, -9, 11, -23, -1, -4, 21]",-28,-28,-26,-56,-1.0,-28,-28,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
28,"[-9, -25]","[-25, -9]","[-7, -23]","[-18, -50]","[-0.1111111111111111, -0.04]","[2, -9, -25]",[-9],-25,-25,-23,-50,-0.1111111111111111,-25,-9,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
29,"[-15, 0, 10, 0, -14, 13]","[0, 13, -14, -15, 10, 0]","[-13, 2, 12, 2, -12, 15]","[-30, 0, 20, 0, -28, 26]","[-0.06666666666666667, 'ZeroDivisionError', 0.1, 'ZeroDivisionError', -0.07142857142857142, 0.07692307692307693]","[-15, 0, 10, 0, 2, -14, 13]","[-15, 0, 10, 0, -14]",-15,-15,-13,-30,error,-15,-15,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
30,"[25, 26, 7, 14, 23]","[23, 26, 7, 14, 25]","[27, 28, 9, 16, 25]","[50, 52, 14, 28, 46]","[0.04, 0.038461538461538464, 0.14285714285714285, 0.07142857142857142, 0.043478260869565216]","[25, 26, 7, 2, 14, 23]","[25, 7, 14, 23]",7,7,9,14,0.038461538461538464,2,7,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
31,"[4, -22, 2, -12, 3, -12, -13, -19, 15, -17]","[2, -19, 3, -12, -13, -12, -22, 15, -17, 4]","[6, -20, 4, -10, 5, -10, -11, -17, 17, -15]","[8, -44, 4, -24, 6, -24, -26, -38, 30, -34]","[0.25, -0.045454545454545456, 0.5, -0.08333333333333333, 0.3333333333333333, -0.08333333333333333, -0.07692307692307693, -0.05263157894736842, 0.06666666666666667, -0.058823529411764705]","[4, -22, 2, -12, 3, -12, 2, -13, -19, 15, -17]","[4, -22, 2, 3, -12, -13, -19, 15, -17]",-22,-22,-20,-44,-0.08333333333333333,-22,-22,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
32,"[12, -17, -3, -20]","[12, -17, -20, -3]","[14, -15, -1, -18]","[24, -34, -6, -40]","[0.08333333333333333, -0.058823529411764705, -0.3333333333333333, -0.05]","[12, -17, 2, -3, -20]","[-17, -3, -20]",-20,-20,-18,-40,-0.3333333333333333,-20,-20,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
33,"[14, 24, -5, -21, 26, 22, -3, -15]","[-15, -3, -21, 22, -5, 24, 14, 26]","[16, 26, -3, -19, 28, 24, -1, -13]","[28, 48, -10, -42, 52, 44, -6, -30]","[0.07142857142857142, 0.041666666666666664, -0.2, -0.047619047619047616, 0.038461538461538464, 0.045454545454545456, -0.3333333333333333, -0.06666666666666667]","[14, 24, -5, -21, 26, 22, 2, -3, -15]","[14, -5, -21, 26, 22, -3, -15]",-21,-21,-19,-42,-0.3333333333333333,-21,-21,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
34,"[11, 19, 22, -2, -3, -13, 3, 24, -3, -1, 7]","[7, 11, 3, -2, -3, 19, 22, -3, -13, -1, 24]","[13, 21, 24, 0, -1, -11, 5, 26, -1, 1, 9]","[22, 38, 44, -4, -6, -26, 6, 48, -6, -2, 14]","[0.09090909090909091, 0.05263157894736842, 0.045454545454545456, -0.5, -0.3333333333333333, -0.07692307692307693, 0.3333333333333333, 0.041666666666666664, -0.3333333333333333, -1.0, 0.14285714285714285]","[11, 19, 22, -2, 2, -3, -13, 3, 24, -3, -1, 7]","[11, 19, 22, -2, -13, 3, 24, -3, -1, 7]",-13,-13,-11,-26,-1.0,-13,-13,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
35,"[6, -13]","[-13, 6]","[8, -11]","[12, -26]","[0.16666666666666666, -0.07692307692307693]","[2, 6, -13]",[-13],-13,-13,-11,-26,-0.07692307692307693,-13,-13,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
36,"[-30, 11, -8, 0, -30, 11]","[11, -30, -8, -30, 0, 11]","[-28, 13, -6, 2, -28, 13]","[-60, 22, -16, 0, -60, 22]","[-0.03333333333333333, 0.09090909090909091, -0.125, 'ZeroDivisionError', -0.03333333333333333, 0.09090909090909091]","[-30, 2, 11, -8, 0, -30, 11]","[11, -8, 0, -30, 11]",-30,-30,-28,-60,error,-30,-30,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
37,"[15, 9, 9, -17, 6, 19, 4, -9, 21, 12, 11, 19, 20, 12]","[-17, 9, 6, 11, 4, 20, 21, 12, 9, -9, 12, 19, 19, 15]","[17, 11, 11, -15, 8, 21, 6, -7, 23, 14, 13, 21, 22, 14]","[30, 18, 18, -34, 12, 38, 8, -18, 42, 24, 22, 38, 40, 24]","[0.06666666666666667, 0.1111111111111111, 0.1111111111111111, -0.058823529411764705, 0.16666666666666666, 0.05263157894736842, 0.25, -0.1111111111111111, 0.047619047619047616, 0.08333333333333333, 0.09090909090909091, 0.05263157894736842, 0.05, 0.08333333333333333]","[15, 9, 9, -17, 6, 19, 4, -9, 2, 21, 12, 11, 19, 20, 12]","[15, 9, 9, -17, 6, 19, 4, 21, 12, 11, 19, 20, 12]",-17,-17,-15,-34,-0.1111111111111111,-17,-17,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
38,"[-32, -23, 19, 22, 15, -5, -19]","[15, -32, -19, 22, -23, 19, -5]","[-30, -21, 21, 24, 17, -3, -17]","[-64, -46, 38, 44, 30, -10, -38]","[-0.03125, -0.043478260869565216, 0.05263157894736842, 0.045454545454545456, 0.06666666666666667, -0.2, -0.05263157894736842]","[-32, -23, 19, 22, 15, -5, -19, 2]","[-32, -23, 19, 22, -5, -19]",-32,-32,-30,-64,-0.2,-32,-32,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
39,"[-14, -16, 13, -18, -10]","[-18, -16, -10, 13, -14]","[-12, -14, 15, -16, -8]","[-28, -32, 26, -36, -20]","[-0.07142857142857142, -0.0625, 0.07692307692307693, -0.05555555555555555, -0.1]","[-14, -16, 13, 2, -18, -10]","[-16, 13, -18, -10]",-18,-18,-16,-36,-0.1,-18,-18,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
40,"[9, -4, -3, 20, -15, -15, 27]","[-15, -15, 20, -4, -3, 27, 9]","[11, -2, -1, 22, -13, -13, 29]","[18, -8, -6, 40, -30, -30, 54]","[0.1111111111111111, -0.25, -0.3333333333333333, 0.05, -0.06666666666666667, -0.06666666666666667, 0.037037037037037035]","[9, -4, -3, 20, -15, -15, 2, 27]","[9, -4, -3, -15, -15, 27]",-15,-15,-13,-30,-0.3333333333333333,-15,-15,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
41,"[-16, 24, -1, -8, 16, -1]","[16, -16, 24, -8, -1, -1]","[-14, 26, 1, -6, 18, 1]","[-32, 48, -2, -16, 32, -2]","[-0.0625, 0.041666666666666664, -1.0, -0.125, 0.0625, -1.0]","[-16, 24, -1, -8, 2, 16, -1]","[-16, 24, -1, -8, 16]",-16,-16,-14,-32,-1.0,-16,-16,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
42,"[-1, 13, 22, -9, 27, 0]","[22, -9, 13, -1, 27, 0]","[1, 15, 24, -7, 29, 2]","[-2, 26, 44, -18, 54, 0]","[-1.0, 0.07692307692307693, 0.045454545454545456, -0.1111111111111111, 0.037037037037037035, 'ZeroDivisionError']","[-1, 13, 2, 22, -9, 27, 0]","[-1, 13, 22, 27, 0]",-9,-9,-7,-18,error,-9,-1,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
43,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
44,"[1, 26, 22, -10, 20, 4]","[26, 4, 22, -10, 20, 1]","[3, 28, 24, -8, 22, 6]","[2, 52, 44, -20, 40, 8]","[1.0, 0.038461538461538464, 0.045454545454545456, -0.1, 0.05, 0.25]","[1, 2, 26, 22, -10, 20, 4]","[1, 26, -10, 20, 4]",-10,-10,-8,-20,-0.1,-10,-10,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
45,[5],[5],[7],[10],[0.2],"[2, 5]",[],5,5,7,10,0.2,2,error,No-violate,No-violate,No-violate,Violate,error,0,0,0,1,error
46,"[-12, 23, 0, -16, 2, -6, -5]","[-16, -6, 2, 23, -5, -12, 0]","[-10, 25, 2, -14, 4, -4, -3]","[-24, 46, 0, -32, 4, -12, -10]","[-0.08333333333333333, 0.043478260869565216, 'ZeroDivisionError', -0.0625, 0.5, -0.16666666666666666, -0.2]","[-12, 23, 0, -16, 2, -6, -5, 2]","[-12, 23, 0, -16, 2, -5]",-16,-16,-14,-32,error,-16,-16,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
47,"[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 19, -1]","[25, 19, 10, 5, 6, 21, 11, 8, -17, -1, 7, 25]","[13, 10, 12, 9, -15, 27, 7, 23, 27, 8, 21, 1]","[22, 16, 20, 14, -34, 50, 10, 42, 50, 12, 38, -2]","[0.09090909090909091, 0.125, 0.1, 0.14285714285714285, -0.058823529411764705, 0.04, 0.2, 0.047619047619047616, 0.04, 0.16666666666666666, 0.05263157894736842, -1.0]","[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 2, 19, -1]","[11, 8, 10, 7, 25, 5, 21, 25, 6, 19, -1]",-17,-17,-15,-34,-1.0,-17,-1,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
48,[],[],[],[],[],[2],[],error,error,error,error,error,2,error,error,error,error,error,error,error,error,error,error,error
49,"[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22]","[20, -10, -5, -7, 7, -10, 22, 3, 0, 14, -10, 1, 16]","[9, 5, -5, -8, -8, 22, 16, -3, -8, 2, 18, 3, 24]","[14, 6, -14, -20, -20, 40, 28, -10, -20, 0, 32, 2, 44]","[0.14285714285714285, 0.3333333333333333, -0.14285714285714285, -0.1, -0.1, 0.05, 0.07142857142857142, -0.2, -0.1, 'ZeroDivisionError', 0.0625, 1.0, 0.045454545454545456]","[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22, 2]","[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 1, 22]",-10,-10,-8,-20,error,-10,-10,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
50,"[20, -17, 6]","[6, -17, 20]","[22, -15, 8]","[40, -34, 12]","[0.05, -0.058823529411764705, 0.16666666666666666]","[20, -17, 6, 2]","[-17, 6]",-17,-17,-15,-34,-0.058823529411764705,-17,-17,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
51,"[-19, -17, -16, 24, 14, -21, 13, -26, -26, 21, -17]","[-16, -26, -17, 21, 13, -17, 24, 14, -26, -21, -19]","[-17, -15, -14, 26, 16, -19, 15, -24, -24, 23, -15]","[-38, -34, -32, 48, 28, -42, 26, -52, -52, 42, -34]","[-0.05263157894736842, -0.058823529411764705, -0.0625, 0.041666666666666664, 0.07142857142857142, -0.047619047619047616, 0.07692307692307693, -0.038461538461538464, -0.038461538461538464, 0.047619047619047616, -0.058823529411764705]","[-19, -17, -16, 24, 14, -21, 2, 13, -26, -26, 21, -17]","[-19, -17, -16, 24, 14, 13, -26, -26, 21, -17]",-26,-26,-24,-52,-0.0625,-26,-26,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
