,id,td_a,td_b,td_type_a,td_type_b,size_td_a,size_td_b
37,DVbCSGJwy6jk9eA39P6KHt,"[-4, -4, 8, -14, 10, -3, -5, -15, 1, -11, 5]","[-15, 6, -12, -15, -10, 3, -7, 7, 4, 10, -9]",<class 'list'>,<class 'list'>,11,11
38,mTAbdD83c2DU3Yp7qpmtq9,"[-14, 6, 4, -19, -15, -12, -10, -3, -14, -1, -7]","[-10, -10, -16, 9, -7, 5, 4, 5, 5, -9, -15]",<class 'list'>,<class 'list'>,11,11
39,SrjcuxAhRFyY3omugDpcC7,"[10, -8, -12, -9, -8, -8, 2, -13, -15, -10, 10, 6, -6, -9]","[-15, 3, -13, -9, 4, -15, 0, -7, 2, -11, -9, -12, -13, -13]",<class 'list'>,<class 'list'>,14,14
40,3CNeLXuwYKgssif8sfXSX7,"[7, 2, -6, -1, 3, 3, -3, 0, -11, 6, 1, 5, -9]","[-4, -6, 5, 4, 2, -8, -3, -10, -11, -6, 7, -2, -11]",<class 'list'>,<class 'list'>,13,13
41,P7EobnYcQBxCzS29vQk2B6,"[3, -1, 12]","[-6, 0, -6]",<class 'list'>,<class 'list'>,3,3
42,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
43,8Mr5aiikZY73DUGsUv7PKR,"[4, 13, 0, 1, -10, -13, 2, 12, -1, 9, 11, 10, 3, 17]","[-11, -12, 2, 5, 13, -13, 14, 10, -6, 8, 15, 9, -2, 2]",<class 'list'>,<class 'list'>,14,14
44,nPifTwu2SAhMG7j7r94y2Z,"[0, -8, -5, 9, 13, 0]","[9, 9, 16, 7, 8, -7]",<class 'list'>,<class 'list'>,6,6
45,bdWijhLhxfhBASBxfVzB65,"[-9, -3, 0, 10, 8, 9, -1, -7, 0, 3, -3, -5, 2]","[6, -5, 10, -3, 8, 1, 8, 6, 7, -2, 0, 1, 8]",<class 'list'>,<class 'list'>,13,13
46,NKz9ZvwYtYBQqAuZKrEMvp,"[-1, -2, 2, -4, -1, -1, 5, 1]","[3, 8, 10, 2, 1, 8, 7, 12]",<class 'list'>,<class 'list'>,8,8
47,BqRfbAR8Wgd6TGDbU9XdRf,"[10, -12, 0, 12, -2]","[-4, -9, 11, -11, 5]",<class 'list'>,<class 'list'>,5,5
48,B6uPXS6fwe5ABqXQGG2Xgm,"[-4, -7, -3, -1, 4, 0]","[1, -5, 4, 0, 3, 5]",<class 'list'>,<class 'list'>,6,6
49,ai6XX7ZrDFCLBAnVnyFyuX,"[-12, -3, -15, -3]","[-14, -11, -9, -11]",<class 'list'>,<class 'list'>,4,4
50,3kQbKm7MDrai6XJpoCoJDn,"[0, 13, 13, -4, 4, 12, 4, 7, 5, -9, 6, -10]","[10, 9, -11, -7, 10, 6, -12, -3, 10, 15, 3, 7]",<class 'list'>,<class 'list'>,12,12
51,TX9FvQBJ7EKoab7DYUwVu4,[9],[2],<class 'list'>,<class 'list'>,1,1
52,iv3QEHYCrDiMWAucjrtHr7,"[10, -2, -18, -3, 11, 11, 0, 3, -8, -1, 6, -7]","[-8, 3, 13, -9, -10, -13, 9, 6, -12, -13, -17, 10]",<class 'list'>,<class 'list'>,12,12
53,LooC5FEM5xcMC5Gape372e,"[2, 1, -12, -12, -12, -9, -8, -3, 3, -15, 2]","[-7, -6, 8, -8, 8, -6, 8, -9, -1, -3, -10]",<class 'list'>,<class 'list'>,11,11
54,anKiBvSgo8YXNsSBiP5ZKr,"[15, 6, 11, 10, 16, -1, -1, 1, 3, 17, 6]","[8, 1, 6, -6, 1, 12, 9, 2, 6, 12, -4]",<class 'list'>,<class 'list'>,11,11
55,4VcBdsyCmTSP5C9AHuTKhV,"[5, 5, 2, -5, 4, -1, 2, 1, -1]","[-3, -6, 5, -2, 4, 6, -1, -3, 0]",<class 'list'>,<class 'list'>,9,9
56,3rk5ahknfqmed8yWpiaRdY,"[-5, -4, 4, -3, 11, -2, 2, 5, 9, 10, -3]","[0, -6, 11, -8, 8, 7, -3, 11, 11, 9, -7]",<class 'list'>,<class 'list'>,11,11
57,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
58,HV2M6FwAUvaKuVN8zv7uZ5,"[4, -7, -8, 5, -5, -2, -5, 8, -9, 5, 4]","[5, -11, -4, 7, 7, 8, 0, 9, -9, 5, -7]",<class 'list'>,<class 'list'>,11,11
59,oNLNgJNDCinEuNByLxiPsM,"[9, -11, 2, 12, -7]","[3, -6, -2, -5, 6]",<class 'list'>,<class 'list'>,5,5
60,6LhgcBQPs9C7BMv8xZHLoC,"[11, 4, 12, 3, 13, 8, -5, 16, 17, 6, 10]","[13, -4, -2, 9, 12, 10, 11, -1, 3, 10, 18]",<class 'list'>,<class 'list'>,11,11
61,9hwKz9D5NCWknuiRcnkcSG,"[-5, 0, -5, -9, -9, -8, -3, 6, -19]","[-8, -13, -8, -4, -17, -19, 5, -7, 1]",<class 'list'>,<class 'list'>,9,9
62,b6Em8yFK9s8JHcQScmzudu,"[-9, -1, -4, 4, -9, 3, -3, -4]","[4, -2, -6, 5, -2, -4, -4, -2]",<class 'list'>,<class 'list'>,8,8
63,QUebGnuTvVp2tidk3czkFy,"[6, 9, 0, 13, -12, 0, -14]","[11, -5, 8, -4, -2, 4, -13]",<class 'list'>,<class 'list'>,7,7
64,eFAGgYXjwjKGuSRbbn9HTA,"[-9, -14, -16, -8, 3, -10, -1, -5]","[-3, -16, -12, -14, 8, 5, 9, -9]",<class 'list'>,<class 'list'>,8,8
65,6f7ijFJHZXGYChwdGPAcGx,"[-7, 2, 6, 6, 8, 3, 3, 10, -11, 3, 10, 7, 4, 1]","[3, -5, -6, -3, -11, -5, -5, -11, 10, 8, 10, 9, 10, -12]",<class 'list'>,<class 'list'>,14,14
66,RGQStdxmsYgFpeLxyunPPP,"[-2, 15, 2, -5, 8, 12]","[10, 13, -6, 4, -1, -6]",<class 'list'>,<class 'list'>,6,6
67,WbM87yLrwio4oPhrq3M2Dn,"[4, -12]","[-9, 8]",<class 'list'>,<class 'list'>,2,2
68,VXoStTXSZeohozjt2ukcF3,"[-1, 5, 4, 15, -15, 9, 9]","[-2, 11, -5, -15, 17, 2, 9]",<class 'list'>,<class 'list'>,7,7
69,7wbCxz4PGA9CAKMif4deMP,[4],[12],<class 'list'>,<class 'list'>,1,1
70,n6zs7Gz5fNzd52URgtPNZM,"[-12, 3, 2, -11, 2, -1, -3, 7, 7, 6, -12]","[-8, -10, -5, 6, 0, 6, 5, 5, -6, -6, -6]",<class 'list'>,<class 'list'>,11,11
71,fYk9LF87yGcC3pJixCVy6X,"[-6, -1, -8, 6, 2]","[1, -1, -6, -2, -3]",<class 'list'>,<class 'list'>,5,5
72,Cko5yK7XaaNhP58VuERB7f,"[-12, -12, 6, -1, 9, -1]","[10, -2, 1, -8, -10, 7]",<class 'list'>,<class 'list'>,6,6
73,3Gh7ovTfvjEN29vpc7TB8k,"[4, -8, -6, -6, 0]","[-7, -1, -1, -6, 3]",<class 'list'>,<class 'list'>,5,5
74,STcbws5d7gCS3uYFcVkP9F,"[0, 5, -8, 6, 1, 9, -5, 1, 0, 3, -3, -8, 9]","[-7, 3, -2, 2, -7, -4, -5, 7, -9, 10, -8, 7, -4]",<class 'list'>,<class 'list'>,13,13
75,jjgPT3UcKUtf26XLLsEcbQ,"[-6, -11, 4, 2, 0, -9, -5, -10, -9, 3, 4, 8, -9]","[2, 8, -11, -4, -8, -11, -1, 3, -2, 2, -3, -9, -3]",<class 'list'>,<class 'list'>,13,13
76,9Z59rVVdGTQR456nD7Cq6a,"[-2, 5, 2, -13, 1, -9, -14, -6, -9, -9, 7, -14, -4]","[7, -17, 0, -5, -14, -10, -3, -9, -16, 1, -5, -1, -6]",<class 'list'>,<class 'list'>,13,13
77,KpjqeFVs8hQ2cgaAs5LC2S,"[-13, 2, -1, -8, -1, -4, -8, 7, -11]","[5, 6, 9, 6, -5, -6, 1, 10, 7]",<class 'list'>,<class 'list'>,9,9
78,DBpun5TsTMzc7dd7RzQzWC,"[10, -3, -4, 6]","[-4, -11, -4, -16]",<class 'list'>,<class 'list'>,4,4
79,CABKv4kLjxBAUwwuuXb2fq,"[3, -8, -9, -10, 11, -7, 16, -11, 14, 11]","[15, -2, -14, 6, 16, 13, 13, 3, -5, 6]",<class 'list'>,<class 'list'>,10,10
80,XvsTGqH8Rpwo7KgbekxmWF,"[-7, 2, 14, 1, -14, -4, 12, 7]","[5, 13, 18, -13, -14, 6, -4, -9]",<class 'list'>,<class 'list'>,8,8
81,VrkFpGPcewePgDTdngSAFm,"[-15, 4, -3, 11, -2, 13, 13, 1]","[-9, -7, 1, -11, -11, -6, 13, 11]",<class 'list'>,<class 'list'>,8,8
82,ebrfaDx7YWr4gcokgv5kW6,"[7, -2, 11, 12, -5, -1, 12]","[15, -5, -3, 14, 3, -3, 15]",<class 'list'>,<class 'list'>,7,7
83,SUW6xKQyJSo3jqtTKgvBUM,"[-5, -6, -10, -6, -10, -6, 3, 6, -2, -11, -4, 3, 2]","[-11, -4, -7, 6, -7, 0, -5, -8, 1, -1, 6, -8, -5]",<class 'list'>,<class 'list'>,13,13
84,fzHN5FcjfcQUKYiS3Ydijn,"[17, 15, -1, -6, -16]","[-6, 14, -15, 9, -3]",<class 'list'>,<class 'list'>,5,5
85,C4ByDQZDB5svx9sCYaFvFm,"[-4, -2, -1, -14, 1, 5, 7, -4]","[7, -11, -11, 0, -17, -14, -6, 4]",<class 'list'>,<class 'list'>,8,8
86,EKxX23ZqLC6dkhUwTjs4tq,"[-13, 14, -13, -13, -4, -13]","[-6, 14, 10, 8, -13, 9]",<class 'list'>,<class 'list'>,6,6
87,fjT5e3dcGifSJF2YuSUa5J,"[-9, -11, -8, 3, -12, 5, 4, -1, -3, -7, 3]","[-9, -1, 5, 3, 1, 4, -10, -3, -4, 5, 3]",<class 'list'>,<class 'list'>,11,11
88,CQZgHVGwo48JY83zDLGVYk,"[4, 6, -3, 3, -2, 6, 6, 5, 3]","[0, 3, -1, -8, -1, 2, -2, 0, -1]",<class 'list'>,<class 'list'>,9,9
89,Khn3LaRZHKmzm2mfbDMhQg,"[-8, 2, -3, 4, 2, -17, 11, -16, -11, -5, 5]","[6, 7, -14, 1, -8, -17, 6, -5, -4, 8, 0]",<class 'list'>,<class 'list'>,11,11
90,bUceVygpMACxHejVWPUKs2,"[7, -4, 0, 5]","[-4, 7, 7, 9]",<class 'list'>,<class 'list'>,4,4
91,iP9G2nnw8J83JSDYR9qbGf,"[7, 9, 11, 6, 10, 7, 4, 7, -1]","[5, 1, -1, 9, -3, 2, 9, 4, 1]",<class 'list'>,<class 'list'>,9,9
92,c2UMc3LDQXTh7cukAkcHRy,[3],[-8],<class 'list'>,<class 'list'>,1,1
93,2XmDdjSFJ4Zj82KfCYnxVH,"[-9, -7, -10, 5, -3, 8, -3]","[-8, -9, 1, -3, -10, 0, 5]",<class 'list'>,<class 'list'>,7,7
94,93ztQRbKYKEwS6xjEcpqnC,[-8],[6],<class 'list'>,<class 'list'>,1,1
95,j6FCGodz4dxtiXtSU6wA4J,"[-7, -13, 2, 0, 2, -9, 4, 4, -3, -5]","[2, -9, 1, -12, -13, 4, -3, -4, -1, 3]",<class 'list'>,<class 'list'>,10,10
96,Mb4EzbehfKBNXVUvRM4GCP,"[6, -5, 5, 5, -1, 11, 12, 3, 2]","[9, -8, -9, -2, 18, -2, 8, 16, -5]",<class 'list'>,<class 'list'>,9,9
97,ceJYaWSHzFGzRZVBCdxzmy,"[-12, -13, 11, -4, -11, 6, 15, 3, -15, 12, 8]","[11, 12, 1, 3, 2, 6, 18, -7, -4, 0, -3]",<class 'list'>,<class 'list'>,11,11
98,JmNSxq5cARLMeF6vTTo6B5,"[-1, -2, -18, -2, 2, 3, -3, 6, 6, -18, 4, -5, 2, -7]","[-8, -5, 5, -8, -2, -6, -2, -8, -3, -19, -5, -15, -14, 9]",<class 'list'>,<class 'list'>,14,14
99,BKXdfohxtbnmi9QKTMZ6nS,"[-10, 12, 0, 5, 5]","[14, 4, -4, 4, 10]",<class 'list'>,<class 'list'>,5,5
100,YFsvbxebCsU6MNRuiECe2f,[-3],[5],<class 'list'>,<class 'list'>,1,1
101,XGUVW3nCUwkSGpuWrueHHS,"[3, -8, 8, -5, -15, -18, 3, -18, 9, 0, -5]","[-8, -3, 2, 4, 6, 3, -1, 11, 1, -6, -1]",<class 'list'>,<class 'list'>,11,11
102,eqBx48Jix3aX78WiWzTNti,[-10],[2],<class 'list'>,<class 'list'>,1,1
103,WK6XmCGnb35Lpk77Xjcp8Y,"[4, -8, -8, -5, 1, 0, 13, 15, -10, 15, 15, -13, 2]","[3, 15, -13, -2, -3, 4, -13, 0, -4, -9, 12, -12, -10]",<class 'list'>,<class 'list'>,13,13
104,bN6iVzYmADyYAUVNNNsNp3,"[-4, 2, -5, -9, 2, -10, 9, 0, -9, -3, -3]","[-3, -5, 3, -7, 11, 9, -1, 4, -2, 2, -7]",<class 'list'>,<class 'list'>,11,11
105,n2fqANBjuLYKPVQcFSqm8o,"[-2, 1, -2, -5, 2, -6, -1, 0, 4, -5, 3, -4]","[-6, 2, -2, 2, -4, 0, -5, -2, -3, 1, 0, 3]",<class 'list'>,<class 'list'>,12,12
106,L3oavVoVgnSPdM2nujWNdU,"[-2, -16, -14, 15, -2, -8]","[7, 5, -4, -15, 15, -8]",<class 'list'>,<class 'list'>,6,6
107,NYifVF5Pj293UAFJuzq4YR,"[-5, 4, 2, 5, 5, 10, 7, 6, 4]","[-9, 0, -5, 3, 2, 8, -2, -5, -11]",<class 'list'>,<class 'list'>,9,9
108,mW5WE9yS4GTk5JdpdtezJR,"[5, -5, -15, 6, -7, 8, -10, -8, -9, -18, 5]","[-12, -11, -17, -13, 1, 4, 6, -8, 2, -11, -7]",<class 'list'>,<class 'list'>,11,11
109,S3qk4GXfLdurwZPtADHwxr,"[-1, -1, 7, 7, -12]","[-7, 5, 11, -3, -8]",<class 'list'>,<class 'list'>,5,5
110,gJpq5bVb5hGKFKJs4Mgu4C,"[-6, 1, 3, -10, -4]","[-6, 4, -14, 4, -1]",<class 'list'>,<class 'list'>,5,5
111,TqxFHM7CvWuCfNWWp9eWWW,"[4, -7, -3, 10, 1, -3, -5, -6, -4, -7, 7, 8, -8, -7]","[-1, 3, 5, -1, 9, 4, 4, -4, 0, -4, 3, 2, 9, -5]",<class 'list'>,<class 'list'>,14,14
112,UYazGCoeq4XrGhtiJegfG2,"[2, -6, -6, -15, -7, 7]","[-16, -12, -9, -13, 1, -17]",<class 'list'>,<class 'list'>,6,6
113,D9vSdeJEpq37CYc43fd9od,[0],[4],<class 'list'>,<class 'list'>,1,1
114,KcqeHzBPfsb9GXxkvzgdKi,"[-14, 7, -15, -14, -5, -5, 9]","[0, 2, -3, -7, -1, 1, -9]",<class 'list'>,<class 'list'>,7,7
115,aWKh7nvrLHcxp8jrYWxLUh,"[-3, 5, 4, -13, -12, -2, -6, -7, -7, -5, -3]","[-9, -6, 6, -3, -13, -1, -5, -5, -13, -3, -8]",<class 'list'>,<class 'list'>,11,11
116,QdFWwTCoWwgih3eMV2tW4W,"[5, 6, 0, 5, 0, 8, -7, -9, -6]","[8, -2, -5, -2, -1, -6, 4, 5, -6]",<class 'list'>,<class 'list'>,9,9
117,FzzuhFSsNpDTpGTTuopvuL,"[1, 10, 5, 0]","[11, 5, -7, 4]",<class 'list'>,<class 'list'>,4,4
118,5TnnXVWGQrJuNHfHZEvLCY,"[-6, -4, -8, -2, 2, 5, 4]","[-13, -10, -12, 0, 0, -10, -2]",<class 'list'>,<class 'list'>,7,7
119,6xCMT99RmMZLaWajeP7d82,"[3, -8, -5, 2, -10, -6, 3, -9, 1, -10, 2, -6, -9, 6]","[2, 6, -1, 0, -8, 1, 0, -9, 0, -1, 6, 6, -7, -6]",<class 'list'>,<class 'list'>,14,14
120,eE7QDbsNhWzgeg8zKtbh6G,"[-2, -6, 8, 1, -9, 9, 7]","[8, 6, 0, -7, 8, 6, -7]",<class 'list'>,<class 'list'>,7,7
121,5CNVYUAtsEoZkoc4hvZyNK,"[-7, -12, 5, -11, 6, 3, -4, 7]","[-15, 1, -7, 2, -3, -9, -4, -15]",<class 'list'>,<class 'list'>,8,8
122,g9pAb9uogVB8wBS4yX4qaw,"[-7, 5, -1, -5, -1, -2, -6]","[-6, -1, -5, -3, 4, -4, 0]",<class 'list'>,<class 'list'>,7,7
123,PEqwLUc3ggALveRVFBV77o,"[1, 0, -6, -6, -9]","[-2, -9, -12, -5, -3]",<class 'list'>,<class 'list'>,5,5
124,MvpdqDUbqd8UoqWKFhrQu3,"[12, -5, -2, 9, -2, 12, -4]","[-6, -4, 9, -8, -4, -9, 3]",<class 'list'>,<class 'list'>,7,7
125,XdR7W7vfdbmujqWHSDuThh,"[2, -8, -10, -4, 4, 4]","[5, -5, -8, 1, 0, 1]",<class 'list'>,<class 'list'>,6,6
126,LqHrBsBFrh7x3ib9GadYA6,"[4, 2, -3, -8, -7, -2, -11, 7, 6, -7, 1, -7]","[0, 5, -3, -4, 5, -7, -11, 4, 3, -11, 4, 4]",<class 'list'>,<class 'list'>,12,12
127,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
128,cw8D7PKn4BZ37CQhGXmAPT,"[-2, 10, -3, 0, 7, 8, 13, 11, 1, 5, 1, 10, -3]","[-1, 4, -3, 4, 2, -1, 8, 1, 2, 7, 13, 10, 8]",<class 'list'>,<class 'list'>,13,13
129,BVwnVs2AixpuGzYm4qD6iv,"[9, 8, 11, 13, 0, -11, 13, 12]","[8, -6, 1, 7, 7, 10, 14, 8]",<class 'list'>,<class 'list'>,8,8
130,Nm86Ldy6ypLnLox2NhCWmf,[5],[5],<class 'list'>,<class 'list'>,1,1
131,FomVNZNmURJCtn6RmukCPs,"[3, -7]","[0, 3]",<class 'list'>,<class 'list'>,2,2
132,ahbwzRfUotCMcVuKMaabwF,"[6, -2, 15, 1, 7, 2, 15, 6, 12]","[-6, 4, -8, -1, 13, 14, -1, 7, 11]",<class 'list'>,<class 'list'>,9,9
133,iQCYxWcUagmxTd7LoG4rD3,"[-13, -1, -15, -7, -11, 1]","[-3, 3, -13, -5, -9, -6]",<class 'list'>,<class 'list'>,6,6
134,8ynuYoNjrLrViZ6wYj4tGM,"[-7, -2, 0, 6, -13, 0, 11, 9, -11, -3]","[-4, -5, 1, -11, -15, -5, -5, -6, -16, 3]",<class 'list'>,<class 'list'>,10,10
135,RRuMuME6MNRxTygeAMBKK7,"[-8, 6, 3, 17, -8, 14, -4]","[16, -16, 14, -7, 6, -7, -11]",<class 'list'>,<class 'list'>,7,7
136,PEwgcTVPPiZkByZRZ6wnJK,"[-1, -6]","[-13, -14]",<class 'list'>,<class 'list'>,2,2
137,ChVNnYZQURyRN2nVZg7fWX,"[2, 3, 7, 3, -4, 1, 5, 8, 7, 12, 10, 3, 4, 12]","[10, 1, 13, 13, 6, -5, -4, 3, 8, 9, 0, 3, -4, 3]",<class 'list'>,<class 'list'>,14,14
138,9tDjkmMLXzdqFoXPQQDW5V,"[-17, -3, 0, 7, -17, -6, -11]","[10, -16, 11, -11, -16, 3, -6]",<class 'list'>,<class 'list'>,7,7
139,5H5RwLp7CaB5vPu7ckVtpV,"[13, -1, -1, 4, 3, -1, -5, -8]","[1, 5, -3, 13, 9, -5, 5, -7]",<class 'list'>,<class 'list'>,8,8
140,fgPeTDnwqpgKycFGnLFJkk,"[1, -7, 4, -1, 2, -3, 2, -6, 6, 1, -7, 6, -6]","[5, 4, 5, 5, 1, 3, 2, -4, -8, -8, 1, 6, -6]",<class 'list'>,<class 'list'>,13,13
141,HTLJgtAaJ2ZrSgjhaCyX6Y,"[3, 2, 8, 9]","[0, 8, 1, -3]",<class 'list'>,<class 'list'>,4,4
142,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
143,JRnvvwxtsk3VM7qN74fiR9,"[-10, -10, 3, -3, 2, -8, 2, -4, -7, 0, -1, -7, -3]","[-4, -3, -7, 1, -7, 0, 1, -7, -5, -9, -9, -7, 1]",<class 'list'>,<class 'list'>,13,13
144,g8DdLi5FCieUtypjdPrumn,"[4, 1, -1]","[-5, -9, -3]",<class 'list'>,<class 'list'>,3,3
145,ezsuxoQRB4qL2vTJHkfZxT,"[6, 5, 1, -3, -6, 6, -8, 5, 3, 9, 14, -10, 1, -9]","[9, 9, -9, 8, 2, -5, -10, 7, 14, 9, -6, -6, 12, -6]",<class 'list'>,<class 'list'>,14,14
