,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
10,"[4, -1, 6, -7, 11, 13, -1]","[-1, 3, -8, -2, 0, 7, 1]","[8, 3, 10, -3, 15, 17, 3]","[3, 7, -4, 2, 4, 11, 5]","[4, 6, -7, 11, 13, -1]","[-1, -8, -2, 0, 7, 1]","[4, -1, 6, -7, 11, 13, 4, -1]","[-1, 3, -8, -2, 0, 7, 4, 1]","[4, -1, 6, -7, 11, 13, -1, 0.25, -1.0, 0.16666666666666666, -0.14285714285714285, 0.09090909090909091, 0.07692307692307693, -1.0]","[-1, 3, -8, -2, 0, 7, 1, -1.0, 0.3333333333333333, -0.125, -0.5, 'ZeroDivisionError', 0.14285714285714285, 1.0]","[16, -4, 24, -28, 44, 52, -4]","[-4, 12, -32, -8, 0, 28, 4]","[13, -7, -1, -1, 6, 11, 4]","[1, 3, -8, 0, -2, 7, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
11,"[1, 0, 14, 6, 14]","[18, 17, -2, 16, 14]","[5, 4, 18, 10, 18]","[22, 21, 2, 20, 18]","[1, 14, 6, 14]","[18, -2, 16, 14]","[1, 0, 14, 6, 14, 4]","[18, 17, -2, 16, 14, 4]","[1, 0, 14, 6, 14, 1.0, 'ZeroDivisionError', 0.07142857142857142, 0.16666666666666666, 0.07142857142857142]","[18, 17, -2, 16, 14, 0.05555555555555555, 0.058823529411764705, -0.5, 0.0625, 0.07142857142857142]","[4, 0, 56, 24, 56]","[72, 68, -8, 64, 56]","[1, 14, 0, 6, 14]","[-2, 18, 16, 17, 14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
12,"[-1, 5, 11, 0, 0, 7]","[-2, -4, 12, 7, 1, 4]","[3, 9, 15, 4, 4, 11]","[2, 0, 16, 11, 5, 8]","[-1, 5, 11, 0, 0]","[-2, -4, 12, 7, 1]","[-1, 5, 11, 0, 4, 0, 7]","[-2, -4, 12, 7, 4, 1, 4]","[-1, 5, 11, 0, 0, 7, -1.0, 0.2, 0.09090909090909091, 'ZeroDivisionError', 'ZeroDivisionError', 0.14285714285714285]","[-2, -4, 12, 7, 1, 4, -0.5, -0.25, 0.08333333333333333, 0.14285714285714285, 1.0, 0.25]","[-4, 20, 44, 0, 0, 28]","[-8, -16, 48, 28, 4, 16]","[7, -1, 5, 0, 0, 11]","[12, -4, 7, 1, 4, -2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
13,"[3, 1, -4, 6, 7]","[-2, 5, -4, -7, 3]","[7, 5, 0, 10, 11]","[2, 9, 0, -3, 7]","[3, 1, 6, 7]","[-2, 5, -7, 3]","[3, 1, -4, 4, 6, 7]","[-2, 5, -4, 4, -7, 3]","[3, 1, -4, 6, 7, 0.3333333333333333, 1.0, -0.25, 0.16666666666666666, 0.14285714285714285]","[-2, 5, -4, -7, 3, -0.5, 0.2, -0.25, -0.14285714285714285, 0.3333333333333333]","[12, 4, -16, 24, 28]","[-8, 20, -16, -28, 12]","[6, 1, 7, 3, -4]","[-4, -2, -7, 3, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
14,"[2, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4]","[6, -4, 5, 0, -4, 2, 0, -8, -3, -7, 3, 1, 3]","[1, -5, -4, 1, -6, -6, 2, 3, 7, -1, -9, 1, 0]","[2, -8, 1, -4, -8, -2, -12, -7, -11, -1, -3, -1]","[-3, -9, -8, -3, -10, -10, -1, 3, -5, -13, -3, -4]","[2, 4, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1]","[-3, 4, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4]","[2, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1, 0.5, -0.125, 1.0, -0.25, -0.125, -0.5, -0.25, -0.08333333333333333, -0.14285714285714285, -0.09090909090909091, -1.0, -0.3333333333333333, -1.0]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4, -0.3333333333333333, -0.1111111111111111, -0.125, -0.3333333333333333, -0.1, -0.1, -0.5, -1.0, 0.3333333333333333, -0.2, -0.07692307692307693, -0.3333333333333333, -0.25]","[8, -32, 4, -16, -32, -8, -16, -48, -28, -44, -4, -12, -4]","[-12, -36, -32, -12, -40, -40, -8, -4, 12, -20, -52, -12, -16]","[-7, 2, -12, -1, -11, -4, -3, 1, -8, -1, -4, -2, -8]","[-4, 3, -10, -2, -8, -9, -13, -3, -1, -3, -3, -10, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
15,"[7, -19, -2, -17, -11, 0, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]","[11, -15, 2, -13, -7, 4, -9, 0, -8, -5, -6, 10]","[14, -11, 11, -5, -10, -7, -14, 13, 1, 1, -2, 7]","[7, -19, -2, -17, 0, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -11, -18, 9, -3, -3, -6, 3]","[7, -19, -2, -17, -11, 0, 4, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -14, -11, 4, -18, 9, -3, -3, -6, 3]","[7, -19, -2, -17, -11, 0, -13, -4, -12, -9, -10, 6, 0.14285714285714285, -0.05263157894736842, -0.5, -0.058823529411764705, -0.09090909090909091, 'ZeroDivisionError', -0.07692307692307693, -0.25, -0.08333333333333333, -0.1111111111111111, -0.1, 0.16666666666666666]","[10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3, 0.1, -0.06666666666666667, 0.14285714285714285, -0.1111111111111111, -0.07142857142857142, -0.09090909090909091, -0.05555555555555555, 0.1111111111111111, -0.3333333333333333, -0.3333333333333333, -0.16666666666666666, 0.3333333333333333]","[28, -76, -8, -68, -44, 0, -52, -16, -48, -36, -40, 24]","[40, -60, 28, -36, -56, -44, -72, 36, -12, -12, -24, 12]","[-10, -4, -11, -12, -13, 7, 0, 6, -19, -9, -2, -17]","[3, -18, -6, -9, 7, -14, -11, -3, -3, -15, 10, 9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
16,"[-14, -16, 5]","[-1, -15, -5]","[-10, -12, 9]","[3, -11, -1]","[-14, -16]","[-1, -15]","[-14, 4, -16, 5]","[-1, 4, -15, -5]","[-14, -16, 5, -0.07142857142857142, -0.0625, 0.2]","[-1, -15, -5, -1.0, -0.06666666666666667, -0.2]","[-56, -64, 20]","[-4, -60, -20]","[5, -16, -14]","[-5, -15, -1]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
17,"[7, -1, 3, 11, -4, -8, -9, 8, 9, -2, 2]","[6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]","[11, 3, 7, 15, 0, -4, -5, 12, 13, 2, 6]","[10, 4, 20, -11, 5, 15, -8, 14, 15, 2, -10]","[7, -1, 3, 11, -8, -9, 8, 9, -2, 2]","[6, 0, 16, -15, 11, -12, 10, 11, -2, -14]","[7, -1, 3, 11, -4, -8, -9, 4, 8, 9, -2, 2]","[6, 0, 16, -15, 1, 11, -12, 4, 10, 11, -2, -14]","[7, -1, 3, 11, -4, -8, -9, 8, 9, -2, 2, 0.14285714285714285, -1.0, 0.3333333333333333, 0.09090909090909091, -0.25, -0.125, -0.1111111111111111, 0.125, 0.1111111111111111, -0.5, 0.5]","[6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14, 0.16666666666666666, 'ZeroDivisionError', 0.0625, -0.06666666666666667, 1.0, 0.09090909090909091, -0.08333333333333333, 0.1, 0.09090909090909091, -0.5, -0.07142857142857142]","[28, -4, 12, 44, -16, -32, -36, 32, 36, -8, 8]","[24, 0, 64, -60, 4, 44, -48, 40, 44, -8, -56]","[-9, 9, -2, -8, 7, 3, 8, -1, 11, 2, -4]","[16, 0, -2, -12, 11, -15, 1, 11, -14, 6, 10]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
18,"[-2, -5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]","[2, -1, -2, -2, -3, 1, 2, -7, 8, 9, -9, -1, 9]","[-5, 6, -13, 0, -11, -1, 3, -10, -7, -12, -8, 7, 5]","[-2, -5, -6, -6, -7, -3, -2, -11, 5, -13, -5, 5]","[-9, 2, -17, -4, -15, -5, -1, -14, -16, -12, 3, 1]","[-2, -5, -6, -6, -7, -3, -2, 4, -11, 4, 5, -13, -5, 5]","[-9, 2, -17, -4, -15, -5, -1, 4, -14, -11, -16, -12, 3, 1]","[-2, -5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5, -0.5, -0.2, -0.16666666666666666, -0.16666666666666666, -0.14285714285714285, -0.3333333333333333, -0.5, -0.09090909090909091, 0.25, 0.2, -0.07692307692307693, -0.2, 0.2]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1, -0.1111111111111111, 0.5, -0.058823529411764705, -0.25, -0.06666666666666667, -0.2, -1.0, -0.07142857142857142, -0.09090909090909091, -0.0625, -0.08333333333333333, 0.3333333333333333, 1.0]","[-8, -20, -24, -24, -28, -12, -8, -44, 16, 20, -52, -20, 20]","[-36, 8, -68, -16, -60, -20, -4, -56, -44, -64, -48, 12, 4]","[-13, -2, 5, -6, 5, -2, -6, -7, 4, -11, -5, -5, -3]","[-12, 3, -17, -16, 2, -9, -15, -1, 1, -5, -14, -4, -11]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
19,"[0, -1, 11, -3]","[14, 16, -3, 16]","[4, 3, 15, 1]","[18, 20, 1, 20]","[0, -1, -3]","[14, 16, 16]","[0, -1, 11, -3, 4]","[14, 16, -3, 16, 4]","[0, -1, 11, -3, 'ZeroDivisionError', -1.0, 0.09090909090909091, -0.3333333333333333]","[14, 16, -3, 16, 0.07142857142857142, 0.0625, -0.3333333333333333, 0.0625]","[0, -4, 44, -12]","[56, 64, -12, 64]","[-1, 0, 11, -3]","[-3, 16, 16, 14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
20,"[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]","[-3, 15, 0, 17, 5, 11, 16, -6, 6, 4, 18, -4, -11, 1]","[11, -10, -3, 14, 22, 9, 22, 14, -7, -2, 6, 9, 9, 8]","[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -3]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 4]","[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3, 4]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4, 4]","[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3, -0.14285714285714285, 0.09090909090909091, -0.25, 0.07692307692307693, 1.0, 0.14285714285714285, 0.08333333333333333, -0.1, 0.5, 'ZeroDivisionError', 0.07142857142857142, -0.125, -0.06666666666666667, -0.3333333333333333]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4, 0.14285714285714285, -0.07142857142857142, -0.14285714285714285, 0.1, 0.05555555555555555, 0.2, 0.05555555555555555, 0.1, -0.09090909090909091, -0.16666666666666666, 0.5, 0.2, 0.2, 0.25]","[-28, 44, -16, 52, 4, 28, 48, -40, 8, 0, 56, -32, -60, -12]","[28, -56, -28, 40, 72, 20, 72, 40, -44, -24, 8, 20, 20, 16]","[11, -3, -15, 2, 0, 14, 1, -7, 13, 12, 7, -4, -10, -8]","[-6, -11, 18, 7, 18, 5, -7, 4, 10, 5, 2, 10, -14, 5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
21,"[-8, 15, 3, 9, -2, 1, 15, -2, -4]","[5, -1, 15, 8, 0, 2, 7, 10, 12]","[-4, 19, 7, 13, 2, 5, 19, 2, 0]","[9, 3, 19, 12, 4, 6, 11, 14, 16]","[-8, 15, 3, 9, -2, 1, 15, -4]","[5, -1, 15, 8, 0, 2, 7, 12]","[-8, 4, 15, 3, 9, -2, 1, 15, -2, -4]","[5, 4, -1, 15, 8, 0, 2, 7, 10, 12]","[-8, 15, 3, 9, -2, 1, 15, -2, -4, -0.125, 0.06666666666666667, 0.3333333333333333, 0.1111111111111111, -0.5, 1.0, 0.06666666666666667, -0.5, -0.25]","[5, -1, 15, 8, 0, 2, 7, 10, 12, 0.2, -1.0, 0.06666666666666667, 0.125, 'ZeroDivisionError', 0.5, 0.14285714285714285, 0.1, 0.08333333333333333]","[-32, 60, 12, 36, -8, 4, 60, -8, -16]","[20, -4, 60, 32, 0, 8, 28, 40, 48]","[-8, -2, -2, 15, 3, 15, 1, -4, 9]","[8, 12, 10, 7, 2, -1, 5, 0, 15]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
22,"[12, -6, 10, 11, -6]","[-5, -10, 5, 11, -3]","[16, -2, 14, 15, -2]","[-1, -6, 9, 15, 1]","[12, -6, 10, 11]","[-5, -10, 5, 11]","[12, -6, 10, 11, -6, 4]","[-5, -10, 5, 11, -3, 4]","[12, -6, 10, 11, -6, 0.08333333333333333, -0.16666666666666666, 0.1, 0.09090909090909091, -0.16666666666666666]","[-5, -10, 5, 11, -3, -0.2, -0.1, 0.2, 0.09090909090909091, -0.3333333333333333]","[48, -24, 40, 44, -24]","[-20, -40, 20, 44, -12]","[-6, 10, -6, 12, 11]","[-10, -3, 11, 5, -5]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
23,"[-4, -13, -10, -4, -9, 8, 7, -14, -1, -2, -16, 4, -6, 6]","[-10, -5, -1, -5, 9, 6, -13, -6, -11, 6, -1, -14, 3, 5]","[0, -9, -6, 0, -5, 12, 11, -10, 3, 2, -12, 8, -2, 10]","[-6, -1, 3, -1, 13, 10, -9, -2, -7, 10, 3, -10, 7, 9]","[-4, -13, -10, -4, -9, 8, 7, -14, -1, -16, 4, -6, 6]","[-10, -5, -1, -5, 9, 6, -13, -6, -11, -1, -14, 3, 5]","[4, -4, -13, -10, -4, -9, 8, 7, -14, -1, -2, -16, 4, -6, 6]","[4, -10, -5, -1, -5, 9, 6, -13, -6, -11, 6, -1, -14, 3, 5]","[-4, -13, -10, -4, -9, 8, 7, -14, -1, -2, -16, 4, -6, 6, -0.25, -0.07692307692307693, -0.1, -0.25, -0.1111111111111111, 0.125, 0.14285714285714285, -0.07142857142857142, -1.0, -0.5, -0.0625, 0.25, -0.16666666666666666, 0.16666666666666666]","[-10, -5, -1, -5, 9, 6, -13, -6, -11, 6, -1, -14, 3, 5, -0.1, -0.2, -1.0, -0.2, 0.1111111111111111, 0.16666666666666666, -0.07692307692307693, -0.16666666666666666, -0.09090909090909091, 0.16666666666666666, -1.0, -0.07142857142857142, 0.3333333333333333, 0.2]","[-16, -52, -40, -16, -36, 32, 28, -56, -4, -8, -64, 16, -24, 24]","[-40, -20, -4, -20, 36, 24, -52, -24, -44, 24, -4, -56, 12, 20]","[-4, -14, -6, -10, -1, 4, -13, -4, 6, -2, -16, -9, 8, 7]","[9, -10, -13, 6, -11, 5, -1, -5, -1, 6, -5, 3, -14, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
24,"[14, 9, 2, 12, 5, -3]","[8, -2, -4, 8, -3, -6]","[18, 13, 6, 16, 9, 1]","[12, 2, 0, 12, 1, -2]","[14, 9, 12, 5, -3]","[8, -2, 8, -3, -6]","[14, 4, 9, 2, 12, 5, -3]","[8, 4, -2, -4, 8, -3, -6]","[14, 9, 2, 12, 5, -3, 0.07142857142857142, 0.1111111111111111, 0.5, 0.08333333333333333, 0.2, -0.3333333333333333]","[8, -2, -4, 8, -3, -6, 0.125, -0.5, -0.25, 0.125, -0.3333333333333333, -0.16666666666666666]","[56, 36, 8, 48, 20, -12]","[32, -8, -16, 32, -12, -24]","[14, 12, 9, 5, -3, 2]","[8, 8, -4, -2, -3, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
25,"[8, 5, -6, -5, -3, 4, -2, 2, 9, 8, -6, 1, 2]","[4, -6, -7, 11, -4, 4, 6, 1, -3, -7, 1, 6, 10]","[12, 9, -2, -1, 1, 8, 2, 6, 13, 12, -2, 5, 6]","[8, -2, -3, 15, 0, 8, 10, 5, 1, -3, 5, 10, 14]","[8, 5, -5, -3, 4, -2, 2, 9, 8, -6, 1, 2]","[4, -6, 11, -4, 4, 6, 1, -3, -7, 1, 6, 10]","[8, 5, -6, -5, -3, 4, -2, 2, 9, 8, -6, 1, 4, 2]","[4, -6, -7, 11, -4, 4, 6, 1, -3, -7, 1, 6, 4, 10]","[8, 5, -6, -5, -3, 4, -2, 2, 9, 8, -6, 1, 2, 0.125, 0.2, -0.16666666666666666, -0.2, -0.3333333333333333, 0.25, -0.5, 0.5, 0.1111111111111111, 0.125, -0.16666666666666666, 1.0, 0.5]","[4, -6, -7, 11, -4, 4, 6, 1, -3, -7, 1, 6, 10, 0.25, -0.16666666666666666, -0.14285714285714285, 0.09090909090909091, -0.25, 0.25, 0.16666666666666666, 1.0, -0.3333333333333333, -0.14285714285714285, 1.0, 0.16666666666666666, 0.1]","[32, 20, -24, -20, -12, 16, -8, 8, 36, 32, -24, 4, 8]","[16, -24, -28, 44, -16, 16, 24, 4, -12, -28, 4, 24, 40]","[-2, 5, 2, -6, 4, -6, -5, 9, -3, 2, 8, 1, 8]","[-7, 4, 6, 4, 6, -7, -3, -4, 1, 10, 1, 11, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
