,id,td_a,td_b,td_c,td_type_a,td_type_b,td_type_c,size_td_a,size_td_b
20,F5HPDUiKHnUpu2Ly6NvSck,"[-3, 12, 13, 6, -5, 14, 5, 5, 13]","[3, -3, 9, 10, -1, -5, -3, 1, 6]",-12,<class 'list'>,<class 'list'>,<class 'list'>,9,9
21,cTYFLvBFftysbp6CjsKTV3,"[7, 11, 7, -9, 13, -1, 10, 8, 7]","[-17, -3, -17, -18, -2, -1, 3, 5, 4]",11,<class 'list'>,<class 'list'>,<class 'list'>,9,9
22,5cyaQQ2jXSVTMx8kM4WDuu,"[-8, -6, 5, 10, 12, 5, -8, -1, -7]","[12, 10, -3, 2, 7, -10, -13, -5, 13]",0,<class 'list'>,<class 'list'>,<class 'list'>,9,9
23,Wk3Wb77N6iqMPxLUnFoRNu,"[5, -12]","[7, 14]",-6,<class 'list'>,<class 'list'>,<class 'list'>,2,2
24,UrtV4gfsK2J5eP7d4728eK,"[1, -1, -1, 3, 2, 0, -4]","[1, -5, 2, -6, 3, -5, 0]",-14,<class 'list'>,<class 'list'>,<class 'list'>,7,7
25,24wXBDNybpB9ghWr2SaX8K,[2],[-5],6,<class 'list'>,<class 'list'>,<class 'list'>,1,1
26,M3THF6FjGz6SjBqAX8mHHQ,"[12, 8, 10, -5, 1, 8, 10, 12, -6, -4, -6, -3, 9]","[9, 2, -5, 12, -3, 14, 7, -1, 0, 7, 11, -1, -4]",-5,<class 'list'>,<class 'list'>,<class 'list'>,13,13
27,ZvztioGWVUVtUvpEQDBLnz,"[3, -6, -11, -2, 9, 3, 0, 9, 0, 0]","[-9, 9, -5, -2, 7, -10, -7, -6, -8, -2]",16,<class 'list'>,<class 'list'>,<class 'list'>,10,10
28,EUQZ9byb2aybuaxhz8Mg9b,"[-5, -11, -12, -2, 8, 6, 3, -7, -10, 7]","[3, 6, -8, 6, -3, 4, -5, 7, -10, -11]",-5,<class 'list'>,<class 'list'>,<class 'list'>,10,10
29,CNFPTV8FdXKGSNMjWPtoWp,[],[],0,<class 'list'>,<class 'list'>,<class 'list'>,0,0
30,ZVSxWouJWNqwbCZbUbovKo,"[-10, 6, 2, -11, 3, -1, -7, 9, 4, -1, 8, -10, 1]","[5, -11, 8, -8, 7, 3, -3, -9, -4, -10, 9, 8, 3]",1,<class 'list'>,<class 'list'>,<class 'list'>,13,13
31,g8DuEKvHL4ozdmPwnCfTTS,[-1],[0],-7,<class 'list'>,<class 'list'>,<class 'list'>,1,1
32,5sqjXiuZ3UryVwsP8NzXMx,"[-9, -3, -4, 4, 5, 2, 4, 5, -7, -6, 0, -3, -1, -5]","[5, 4, -3, -3, -6, -4, 1, -4, -2, 1, -5, 2, -3, -2]",-15,<class 'list'>,<class 'list'>,<class 'list'>,14,14
33,UoatSVx7peA8y6KD2sLvHc,"[3, 7, 2, -4, 0, 5]","[-1, 6, -1, 2, 2, 1]",0,<class 'list'>,<class 'list'>,<class 'list'>,6,6
34,KpPyLzxJNAj9deaHU7nwph,"[-10, 13, 5]","[-6, -9, 6]",15,<class 'list'>,<class 'list'>,<class 'list'>,3,3
35,KYehAefpRHsLQiExqHbzmQ,"[-10, -9, -6, -13, -1]","[-6, -15, -12, -4, 2]",2,<class 'list'>,<class 'list'>,<class 'list'>,5,5
36,aeMok9EVNHGmaYuaUhB9ro,"[-4, 4, 8]","[-4, 10, -15]",17,<class 'list'>,<class 'list'>,<class 'list'>,3,3
37,FCUYKWQDZVJbqqkSHxVvz9,"[-1, 9, 6, 4, -5, -1, 10, 0]","[4, -4, 1, -2, 3, 9, 8, 11]",3,<class 'list'>,<class 'list'>,<class 'list'>,8,8
38,eBiHEaD2UgBRqSDuVLGHPe,"[-15, -16, -7, 11, -5, 13, 16, 11, 1, -13, 14, -15, -8, -16]","[-2, -13, 3, -5, 1, -4, 10, 14, 15, 6, -19, -18, -13, 12]",8,<class 'list'>,<class 'list'>,<class 'list'>,14,14
39,BLCQPX3XRmTh5BX8XCdutL,"[-9, -7, 5, 8, 2, 1]","[0, -9, 1, -1, 2, 5]",5,<class 'list'>,<class 'list'>,<class 'list'>,6,6
40,nPfauSRPeac9iYPjuSftSP,[-5],[-7],-18,<class 'list'>,<class 'list'>,<class 'list'>,1,1
41,SQBYFd4jtDpSqA7MzLJ4rb,"[-1, 3, 3, 7, 7, 0, 11, -1, 3, -3, 11]","[9, 1, 11, 0, 9, -3, -9, -9, -1, -1, 0]",0,<class 'list'>,<class 'list'>,<class 'list'>,11,11
42,iNDdh359ApEH4nUktdeLBm,"[-11, -11, -9, 9, -1, 5, 12, 7, 1, -11, 10]","[4, 12, 8, 3, -6, 6, -6, 8, -1, -7, 3]",-4,<class 'list'>,<class 'list'>,<class 'list'>,11,11
43,aknRWbbQsxGxLTWqaUMarF,"[-1, 6, -6, -4, 1, 13, -6, -2, -3, 14]","[14, -12, -1, -14, 6, -14, 2, -4, -12, 7]",14,<class 'list'>,<class 'list'>,<class 'list'>,10,10
44,djPP9Sbb6XSUoAqMEd9zU8,"[9, 11, 7]","[-16, -4, 1]",7,<class 'list'>,<class 'list'>,<class 'list'>,3,3
45,TXk7xAwLJpxaDcurwBMqvh,[11],[4],12,<class 'list'>,<class 'list'>,<class 'list'>,1,1
46,4r8anf6tYUvRUdptRMVebF,"[-2, 0, 0, -3, -5]","[0, 2, 2, -3, 0]",-1,<class 'list'>,<class 'list'>,<class 'list'>,5,5
47,CNFPTV8FdXKGSNMjWPtoWp,[],[],-14,<class 'list'>,<class 'list'>,<class 'list'>,0,0
48,CNFPTV8FdXKGSNMjWPtoWp,[],[],-17,<class 'list'>,<class 'list'>,<class 'list'>,0,0
49,YFsvbxebCsU6MNRuiECe2f,[-3],[4],5,<class 'list'>,<class 'list'>,<class 'list'>,1,1
50,YrijoVC4F3HbREwMx5PuyJ,"[-6, -11, -12, 11, 9, -7, -6, -6]","[-13, 13, -12, 11, 12, 5, 5, -13]",15,<class 'list'>,<class 'list'>,<class 'list'>,8,8
51,YhtaGuzJzQyX4UTnoJCkLq,"[6, -1, -9, -13]","[-11, -3, -10, 10]",-9,<class 'list'>,<class 'list'>,<class 'list'>,4,4
52,HyKrnAaEhdVtymGowCDgMv,"[-7, -1, 7, -18, 2, -14, -3]","[14, 9, -8, -3, 6, -2, 2]",-15,<class 'list'>,<class 'list'>,<class 'list'>,7,7
53,goSqeQsAfQUxmGoKF4yXdq,"[-5, 4, -4, 1, 1, 8]","[0, -3, 7, -4, -5, -2]",-12,<class 'list'>,<class 'list'>,<class 'list'>,6,6
54,3mLpPcWhsLy8Z3dhNwZ3ws,"[-12, -3, -11, -1, -4, -9, -15]","[-13, -13, -6, -14, 0, -12, -16]",0,<class 'list'>,<class 'list'>,<class 'list'>,7,7
55,2gHv49nXsJpFFrC7N2KeTT,"[-9, 6, -18, -5, 8]","[-5, 8, -2, -14, -1]",14,<class 'list'>,<class 'list'>,<class 'list'>,5,5
56,RwEUAcDH3nzFQHdjQPShfj,"[-9, -1, -6, -13, -1, -12]","[-6, -2, -4, -7, -11, -7]",8,<class 'list'>,<class 'list'>,<class 'list'>,6,6
57,jTKHDmaRicHdN8oVtdq4qy,"[-3, -1, 13, -8, 9, 12, -3, 6, -15]","[11, -5, 11, 12, 8, 16, 15, -4, 4]",-13,<class 'list'>,<class 'list'>,<class 'list'>,9,9
58,FDgyk5PkAWdEESTG8EZaHc,"[-10, -8, -18]","[-7, -7, 0]",10,<class 'list'>,<class 'list'>,<class 'list'>,3,3
59,Z9T3nx9ayWnhhAUKoR6nzp,"[-8, -9, -13, 7, -12, -8, -5, 5, 8]","[-8, 1, -4, -3, 7, 1, 10, 2, 7]",-10,<class 'list'>,<class 'list'>,<class 'list'>,9,9
60,5A95cZACxyXQmvPqFdcpua,"[-9, -6, 1, 1, -12, 4, -14, -14, -11, -1, 3, -5]","[-9, -3, -14, 2, -11, -11, -3, 3, -7, -6, -2, -10]",14,<class 'list'>,<class 'list'>,<class 'list'>,12,12
61,2ACdk76WKBinXE4JX8HcYp,"[-9, 4, 3, -12, 10]","[-6, 6, 0, -5, 9]",19,<class 'list'>,<class 'list'>,<class 'list'>,5,5
62,mVeeJpte88jFyoTjtavRdA,"[9, 10, 3, -1]","[-6, 8, -12, 0]",-18,<class 'list'>,<class 'list'>,<class 'list'>,4,4
63,iBjrr4Ahsx5crXh9Yk9ZTG,"[-9, -9, -1]","[-4, -10, -8]",0,<class 'list'>,<class 'list'>,<class 'list'>,3,3
64,iugukaySGf7AapgU88Sy8r,"[-7, -3]","[-12, -2]",-9,<class 'list'>,<class 'list'>,<class 'list'>,2,2
65,H996Y956zmwScneBvXpz6E,"[2, -8, -6, 10, 5]","[1, -14, 6, 4, 6]",-15,<class 'list'>,<class 'list'>,<class 'list'>,5,5
66,CNFPTV8FdXKGSNMjWPtoWp,[],[],-15,<class 'list'>,<class 'list'>,<class 'list'>,0,0
67,7wbCxz4PGA9CAKMif4deMP,[4],[0],0,<class 'list'>,<class 'list'>,<class 'list'>,1,1
68,mcFSUwYzKWMCW86FongMb7,"[4, -6, -4, 11, -1, 12, -1, 2, -7, -8, 1]","[-8, 3, -7, 0, -4, 2, 12, 5, -5, -5, 6]",-4,<class 'list'>,<class 'list'>,<class 'list'>,11,11
69,599bjwUiK9WJ5DDD64rVnH,"[-6, 4, 11, 9, -6, 2, -13, -14, -1]","[-3, -12, -10, -11, -9, 9, -8, -2, -10]",-1,<class 'list'>,<class 'list'>,<class 'list'>,9,9
70,PQ7c8YZC9ZmXr8tS6wDqhH,"[-1, -16, -16, 11, 1, 3]","[-15, -9, -14, 3, 0, -13]",8,<class 'list'>,<class 'list'>,<class 'list'>,6,6
71,E99xNWU3yCiLtJASVcZTJ4,"[5, 3, 6]","[-1, -10, -8]",-18,<class 'list'>,<class 'list'>,<class 'list'>,3,3
72,29UDkpadDQwLxkLWB5rPWe,"[-12, -10, 4, -1, 6, -12, -5, -2]","[-4, 14, -8, 13, 10, 17, 12, 12]",-18,<class 'list'>,<class 'list'>,<class 'list'>,8,8
73,CpzkwKP3DsWT3BPQ43n6tt,"[-1, -5, -4, 2, -15, -5, -16, 11, -2, 3, 1, -9]","[-16, -5, -8, 7, 7, -3, 11, -3, 0, -2, -13, -7]",-1,<class 'list'>,<class 'list'>,<class 'list'>,12,12
74,Cou2B2Unfisgq9k2E2y5ek,"[12, -10, 0]","[-10, -10, 10]",-15,<class 'list'>,<class 'list'>,<class 'list'>,3,3
75,oFokkT9Yater5dEMLxCH7y,"[-1, 0, 1, 5, -9, 1, 1, -15, -16, 0, 4, -15]","[-7, -18, 2, -1, -17, -15, -18, -8, 1, -9, 5, -13]",-2,<class 'list'>,<class 'list'>,<class 'list'>,12,12
76,bDyh2YGAXx6W3Zk8Mk6pEf,"[-10, -8, -4, 11, -4, -3, -14, 8]","[1, 5, -11, 12, -13, -13, 5, 4]",-14,<class 'list'>,<class 'list'>,<class 'list'>,8,8
77,eWfMuMtmVGG2aTQKCLyvHd,"[17, 4]","[4, -2]",-2,<class 'list'>,<class 'list'>,<class 'list'>,2,2
78,BgCjUnbaJiUahqTscYzZ9R,"[-12, -1, -4, -17]","[10, -6, -3, -16]",-2,<class 'list'>,<class 'list'>,<class 'list'>,4,4
79,KcUNihLQL2iDTGLmYjWLN6,"[2, 5, 0, 4, 8]","[8, -4, -6, 1, -6]",12,<class 'list'>,<class 'list'>,<class 'list'>,5,5
80,9uCeDQUapqodMBbzXpdkVd,"[0, 3, 6, -9]","[0, -15, -15, -6]",-11,<class 'list'>,<class 'list'>,<class 'list'>,4,4
81,66jL5k2F7tvky6PPcTn7Z9,"[-3, 7, 2, 13, 8, -1, 2, 2, 14, 2, -6, -9, -4]","[-5, 8, 2, 7, 3, 6, 5, 1, 0, -11, 7, 11, -2]",15,<class 'list'>,<class 'list'>,<class 'list'>,13,13
82,YvT84myuXKUKWbMfHau5HJ,"[-17, -9, -7, -8, 3, -5, -13, -16, -2, -13, -13]","[-18, -6, -16, -17, -14, -6, -10, 2, 6, -12, -19]",-14,<class 'list'>,<class 'list'>,<class 'list'>,11,11
83,2aviBRNPuNz96d5FpuaGCP,"[2, -6]","[-7, 6]",-12,<class 'list'>,<class 'list'>,<class 'list'>,2,2
84,aB6EpPeghi7AXXxNQukCmK,"[-2, 1, -11, -9, -7, 1, 5, 6, 10, -3, 1, -3, -5]","[1, 11, -11, 4, 1, 11, 4, -3, 0, -10, 1, 1, -4]",-18,<class 'list'>,<class 'list'>,<class 'list'>,13,13
85,M7nSfoZ4ZLeUhM9ssvch82,"[0, 2, -7, 0, -3, -6, 3, -6]","[-4, -6, -7, 6, -7, 2, -3, 5]",0,<class 'list'>,<class 'list'>,<class 'list'>,8,8
86,huLGdYqAzKyKoU4qLyePRb,"[5, 10, -9, -10, 7, -16, -11, -8, -16, -5, 2]","[-6, -14, -13, 10, 5, 10, 10, 6, 9, 8, 0]",19,<class 'list'>,<class 'list'>,<class 'list'>,11,11
87,ZNNVJZnXy4TRccJGpKAhMm,"[-6, 13, 2]","[1, 13, -4]",-5,<class 'list'>,<class 'list'>,<class 'list'>,3,3
88,bU6Jd3ATFFrgoGZFREcQdm,"[6, 4]","[15, -13]",14,<class 'list'>,<class 'list'>,<class 'list'>,2,2
89,hHpNMSUm6f3Uqt3RL2qZ3L,"[5, 11, 5]","[5, 11, -7]",0,<class 'list'>,<class 'list'>,<class 'list'>,3,3
90,2aviBRNPuNz96d5FpuaGCP,"[2, -6]","[-7, -3]",9,<class 'list'>,<class 'list'>,<class 'list'>,2,2
91,CNFPTV8FdXKGSNMjWPtoWp,[],[],-8,<class 'list'>,<class 'list'>,<class 'list'>,0,0
92,4cPVUxJBr4E9sv4zHkhb5F,"[-7, 6, 3, 1]","[-3, -5, -6, -4]",15,<class 'list'>,<class 'list'>,<class 'list'>,4,4
93,eqKavXZeSLGE335QFnbbaX,"[1, 2, 11, 10, 7, 1, 16, -5, -4]","[15, -7, 2, -3, 2, -6, 5, 4, 3]",0,<class 'list'>,<class 'list'>,<class 'list'>,9,9
94,VAQncj8V93UUtPiX2YhgHF,"[0, 3, -10, 5, -8, -10, 15, -7, -2, -10, 4, -7]","[1, -5, 15, 14, 1, 12, 0, -5, 4, 12, 5, -2]",-16,<class 'list'>,<class 'list'>,<class 'list'>,12,12
95,7pcv6ywxZZ5oRwLMM3Dabu,"[4, 10, 10, -3, -7, 13, -9, -12, 12, -2, 1, -3, -6, 5]","[-2, 13, 0, -4, 1, -5, -5, -12, 11, 9, -6, -6, -9, -12]",-17,<class 'list'>,<class 'list'>,<class 'list'>,14,14
96,4BLmvBfyAJ2Die32wqCLcG,"[-4, -6, -5, -3, 3, -7, 2, 4, -1]","[0, 3, 2, -6, -5, 1, -4, -10, -8]",14,<class 'list'>,<class 'list'>,<class 'list'>,9,9
97,JrTNf74Ukbvott3iQm6o42,"[-3, 5, -6, -1]","[4, 0, -5, -1]",3,<class 'list'>,<class 'list'>,<class 'list'>,4,4
98,7sFFFDEzq7WHZSAndWUtaK,"[-16, -13, -8]","[5, -1, -10]",-15,<class 'list'>,<class 'list'>,<class 'list'>,3,3
99,d8Lu6jBXAzCMcAhwVmuJDg,"[6, -1, -15, -14, 5, 7, 8, -4, 5, -7, -2, -12, -14, 4]","[-10, -6, -16, 5, 12, 8, 3, 14, 12, 13, -16, 5, -17, -12]",17,<class 'list'>,<class 'list'>,<class 'list'>,14,14
100,CNFPTV8FdXKGSNMjWPtoWp,[],[],-18,<class 'list'>,<class 'list'>,<class 'list'>,0,0
101,PAvgusbx5LwFBn28edQfjt,"[1, -1, 5]","[6, 1, 6]",14,<class 'list'>,<class 'list'>,<class 'list'>,3,3
102,2cisDt7wT49EYhi37ebNag,"[-7, -7]","[1, 4]",-18,<class 'list'>,<class 'list'>,<class 'list'>,2,2
103,BPYENXAinr7crL5Hinu5ug,"[-16, -2, 1, -8, -10, 6, 5, -10]","[-15, 2, -4, 2, -7, -9, -10, -1]",14,<class 'list'>,<class 'list'>,<class 'list'>,8,8
104,N6kB5hCYcX55PFgZUG62NU,"[-1, 4, -8, -8]","[-6, 6, -1, 6]",-9,<class 'list'>,<class 'list'>,<class 'list'>,4,4
105,BddzCAvzp7nVKrAph3KZwq,"[-4, -8, -3, 15, 4, 8, -10, -6, 4, -6, -1, 3, -5, -4]","[-3, 12, -5, 3, -8, 4, 10, -9, -6, 14, -4, 12, 14, 11]",18,<class 'list'>,<class 'list'>,<class 'list'>,14,14
106,ZMhdMqaTtb6qcEcT5WguPQ,"[0, 4, -11, -7, 1, -8, -6, -10, -7, -8, -9]","[5, -11, -8, -9, -10, -2, -4, 1, -2, -1, -11]",-9,<class 'list'>,<class 'list'>,<class 'list'>,11,11
107,YGC8XHmHMBDuGk8WJJgzE9,"[-4, -10, -10, -7, -3, 9, 15, -1]","[-8, 0, 16, 14, 4, 2, 9, 7]",16,<class 'list'>,<class 'list'>,<class 'list'>,8,8
108,B5tt2vzaoECWzhFqnYDams,"[-4, 9, 5, 7, -10, 8, -7, -7, 8, -8, -9, -10, 3]","[5, -10, 8, -10, -8, -2, -11, -3, 4, -1, 0, -5, 5]",17,<class 'list'>,<class 'list'>,<class 'list'>,13,13
109,izTt9h8BH5mnPgLZhYgijA,[14],[7],-17,<class 'list'>,<class 'list'>,<class 'list'>,1,1
110,jfsPWG58bFbt85KkWaPgse,"[3, -6, -2, 11, -4, -7]","[-4, 11, 3, 4, 8, 7]",2,<class 'list'>,<class 'list'>,<class 'list'>,6,6
111,3dEgsWy8u9SsjZ9SX2qAUm,"[-7, 9, 2, -4, 12, 6, -1, 15, 5]","[0, 3, 2, 14, 2, -1, -4, 12, 8]",11,<class 'list'>,<class 'list'>,<class 'list'>,9,9
112,CNFPTV8FdXKGSNMjWPtoWp,[],[],18,<class 'list'>,<class 'list'>,<class 'list'>,0,0
113,CNFPTV8FdXKGSNMjWPtoWp,[],[],-1,<class 'list'>,<class 'list'>,<class 'list'>,0,0
114,7zwo4nYv63eytQjnw6cCXF,"[-3, -7, -6, -2, 5]","[7, -5, 7, -5, -9]",15,<class 'list'>,<class 'list'>,<class 'list'>,5,5
115,HJTCsegvaFfTUqd4F7YvrR,"[1, 3, 0, 4, 1, 0]","[5, 2, -1, 3, 4, -4]",9,<class 'list'>,<class 'list'>,<class 'list'>,6,6
116,9KFCn3zCEJZz3UbEXWHzuU,"[-1, -9, -11, -5, 1, 5]","[-4, -1, -6, -2, -10, -4]",-3,<class 'list'>,<class 'list'>,<class 'list'>,6,6
117,XE5wSMPgPQeXrLsWiF6aFB,"[4, -4, 3, 12, -9, -5]","[-2, 4, -7, -9, 3, -5]",18,<class 'list'>,<class 'list'>,<class 'list'>,6,6
118,geawGWemQLY8MepCMyJUPX,"[-5, 2, 1, 5]","[3, -3, 2, -1]",-19,<class 'list'>,<class 'list'>,<class 'list'>,4,4
119,HyycucZpBX9K4vWPVpCeyY,"[1, -14, -11, -5, -6, 6, -15]","[-9, 7, 7, -15, 7, 6, 3]",-1,<class 'list'>,<class 'list'>,<class 'list'>,7,7
120,CNFPTV8FdXKGSNMjWPtoWp,[],[],11,<class 'list'>,<class 'list'>,<class 'list'>,0,0
121,TX9FvQBJ7EKoab7DYUwVu4,[9],[2],-6,<class 'list'>,<class 'list'>,<class 'list'>,1,1
122,HqJReaxXo2H5wAEHA99wgf,"[15, -14, 9]","[15, 10, -1]",-1,<class 'list'>,<class 'list'>,<class 'list'>,3,3
123,B8pxn8QjTzYCeJvKuxiZks,"[0, -11, 13, 14, 8, 11, 8, 0, -8, 1, 7, -11]","[15, 13, 4, 9, -2, -1, -1, -5, 13, 9, -9, 5]",-19,<class 'list'>,<class 'list'>,<class 'list'>,12,12
124,BNAP5jAqwyn2eu4MUhQ7eL,"[5, 8, 4, 1, 8, 12, 11, -10, -5, -5, 1]","[7, -1, -6, -7, 5, 12, -7, -6, -10, 0, 4]",-5,<class 'list'>,<class 'list'>,<class 'list'>,11,11
125,JeWNLnqFHGQVtVTmrFuCGe,"[-6, 4, 2, 4, 3, 3, -4, 5, -3]","[3, 4, 1, -6, -5, -8, 5, -1, -3]",-7,<class 'list'>,<class 'list'>,<class 'list'>,9,9
126,5STZp59DK8BhRKwZoaJWHe,"[-11, 14, -3, 14, 6, 1, -1, 16, -7]","[14, -6, -5, 10, 9, 11, -1, -9, 8]",6,<class 'list'>,<class 'list'>,<class 'list'>,9,9
127,XPKiVyD5kZ6gEdJeWmgWyE,"[-2, -1, 3, 6, 3, -3, 9, -2, -6, -1, 3, -3, 2, -2]","[7, -2, -1, -2, 7, 10, 10, 8, 0, 0, -4, 4, 1, 8]",14,<class 'list'>,<class 'list'>,<class 'list'>,14,14
128,mUns3gTpcyvzBsiSwSvV9s,"[-1, -5, -4, 4, -18, 3, 11]","[-6, -12, 8, -16, -4, -1, -16]",18,<class 'list'>,<class 'list'>,<class 'list'>,7,7
129,cKC8KW7yDQ8hMrpzV6LQMn,"[9, -4, 3, -10, 4, 12, -10, -9]","[16, 6, 9, 7, 9, 9, 9, 7]",4,<class 'list'>,<class 'list'>,<class 'list'>,8,8
130,BbX9JqLUuNpnygorwBuLWg,"[-9, -2, 1, 9, 3, -3, -1, 2]","[4, -7, -4, 5, -6, 2, 1, 12]",8,<class 'list'>,<class 'list'>,<class 'list'>,8,8
131,erXishqfZaPovwZbEhVKyX,"[-17, 2, -2, 3, -4, -1, 4, 1, -1, 4, 1]","[0, -16, -8, 0, 0, 2, -5, -12, -3, -1, -16]",-14,<class 'list'>,<class 'list'>,<class 'list'>,11,11
132,deyLUbQYSXUP3QQ3MPB3VZ,"[8, 4, -15, 1]","[2, -13, -2, 8]",11,<class 'list'>,<class 'list'>,<class 'list'>,4,4
133,kTxYvvfztuuvhhr3bkhrvG,"[-1, -3]","[-9, -3]",-13,<class 'list'>,<class 'list'>,<class 'list'>,2,2
134,ajBTkKPQidSnEmYdHz7WER,"[8, -9, -15, 11, -7, 5]","[4, 13, -6, -5, -17, -1]",10,<class 'list'>,<class 'list'>,<class 'list'>,6,6
135,LNZvNy6ahtKkHe5HxU9s8G,"[-2, 4, -4, 11, 0, 18, 0, 3]","[-2, -4, 7, 4, 4, 15, -2, -1]",-15,<class 'list'>,<class 'list'>,<class 'list'>,8,8
136,Jq4uxE5iNb8hoRtGqQToNi,"[10, -6]","[1, -4]",-15,<class 'list'>,<class 'list'>,<class 'list'>,2,2
137,Hs3SJMhxdeMMqe4tBmCNUK,"[-10, -13, -10, -3, -2, -9, 4, -11, 4, -16, 3]","[-3, -13, 2, -6, -3, 1, -8, 1, -13, -9, -2]",-6,<class 'list'>,<class 'list'>,<class 'list'>,11,11
138,LvWVugoitWHrmBnWyad4WK,"[5, 9, -12, -12, -6, -7, 3, -6, 7, 4, -5, 6, -8, -4]","[-7, -11, 6, 6, -2, 0, 7, -12, -13, 5, -4, -7, -12, -4]",9,<class 'list'>,<class 'list'>,<class 'list'>,14,14
139,gggNx5R5nPCA9ubExw4gig,"[-7, 7, 1, 6, -3, -1, -4, -6, 12, 12, 8]","[-3, 7, 9, 7, 8, 10, 9, 2, 12, 11, -2]",-2,<class 'list'>,<class 'list'>,<class 'list'>,11,11
140,QkkUE2JUWTReKUTxkiCNQq,"[-1, -4, 4, -6, 3, 2, -5, -2, -4, 4, -1]","[-2, -4, 0, -6, 1, 2, -6, -7, -5, 3, 3]",10,<class 'list'>,<class 'list'>,<class 'list'>,11,11
141,b3DN9m98Wra6mFDpz7hmtz,"[5, -5, 9, 9, 13]","[12, 9, 13, 15, 14]",-1,<class 'list'>,<class 'list'>,<class 'list'>,5,5
142,g6vfaUbj8ge4P87L2G9ivg,"[9, -18, -15, -9, -10, -6, -9, -10, -13, 13, 14, 2, -11]","[-1, 6, -3, -10, -16, -4, -17, 3, 13, -6, 9, -12, 11]",13,<class 'list'>,<class 'list'>,<class 'list'>,13,13
