,id,td_a,td_b,td_type_a,td_type_b,size_td_a,size_td_b
18,XU5CkPUQMtQEWhh38TpSpb,"[14, -14, 10, -12, 2, 17, 0]","[-6, 8, -2, -5, 2, 18, 11]",<class 'list'>,<class 'list'>,7,7
19,LDzfqnEmdWmMZfizqWBeDb,"[-4, 11, -10, -6, -10, -9, -11, -6, 1]","[-7, -5, -2, -4, 11, -5, -8, 9, 2]",<class 'list'>,<class 'list'>,9,9
20,RXVzzcq4dv9UmurHKA5ctz,"[4, -7, -5]","[-4, 2, 2]",<class 'list'>,<class 'list'>,3,3
21,buxE464hBGK4Ben99fcpPG,"[-12, -15, 3, -6, -14, -2, -5, -14, -2, -9]","[-7, -10, -7, 3, 10, -7, -8, 8, -11, 1]",<class 'list'>,<class 'list'>,10,10
22,9rWcpiJYtLS8aaELwutaLz,[7],[-6],<class 'list'>,<class 'list'>,1,1
23,c2UMc3LDQXTh7cukAkcHRy,[3],[-7],<class 'list'>,<class 'list'>,1,1
24,RpjuaxeBnppZqEYyPduHRZ,"[1, 15, 13, 2, 8, 9, 2, 8, 11, -1, 14, -5, -1, -2]","[4, -6, 7, 4, 1, 6, 6, 13, 3, -8, -8, -3, 15, 14]",<class 'list'>,<class 'list'>,14,14
25,XGH2BdJ4BxLaBNTTiBktSr,"[3, -10, 15]","[6, -13, 15]",<class 'list'>,<class 'list'>,3,3
26,LpGWuQviF2eat3dRubSQ2o,"[-15, 9, 7, -3, -3, 8, 2, -14, -17, -10, -2, -14]","[5, -6, 5, -8, 0, -12, 9, 7, -12, -11, 1, 1]",<class 'list'>,<class 'list'>,12,12
27,Wr3NrqPrz3bZ7RFBSBiRHG,[-12],[-13],<class 'list'>,<class 'list'>,1,1
28,4FKJDpGovgHXS9JNt9ifnU,"[3, 10, 15, 5, 10, 8, -11, -9, 14, 15, -11, 7]","[-8, 12, 7, -4, 9, -9, 13, 13, 1, -11, -2, 12]",<class 'list'>,<class 'list'>,12,12
29,BYkip9xqgDZ4opTRQvsnrU,"[-1, 2]","[-5, -4]",<class 'list'>,<class 'list'>,2,2
30,SKBSuhgR4R2Jh2wT2ymUvv,"[-13, 3, -14, -7, -15, 8, -15, 5, 13, 3, 0, 5, 10]","[-11, -17, 10, 12, -16, 2, -10, -15, -13, -13, -4, 5, 9]",<class 'list'>,<class 'list'>,13,13
31,nBwxTvqhnkDtfp8cchUUu3,"[-13, -5, -7, -9, 4, -10]","[-13, -12, -5, 0, 2, -1]",<class 'list'>,<class 'list'>,6,6
32,EYGMAMcbgjqKU4cpLTjpM5,"[9, 0, 8, 1, 8, -6, 10, -3, 2, 8, -3, 9, 2, 5]","[0, -5, 8, 3, -6, 0, 1, 0, 10, 8, -3, 0, 1, -4]",<class 'list'>,<class 'list'>,14,14
33,c2UMc3LDQXTh7cukAkcHRy,[3],[0],<class 'list'>,<class 'list'>,1,1
34,BXh3tgyZnCei2rXGZGPEwK,"[-12, -14, 0, -2, 3, 6, 10, -14, 6, -13, -15, -16, 4]","[6, -2, -9, -9, -5, 3, 6, -4, -1, 5, 9, 5, -14]",<class 'list'>,<class 'list'>,13,13
35,g8DuEKvHL4ozdmPwnCfTTS,[-1],[7],<class 'list'>,<class 'list'>,1,1
36,FH2mFPcwDe3pALiGvPXZTq,"[5, -5, 14, 2, 0, 8, -6, 2]","[7, 4, -8, -5, 13, -7, -4, 2]",<class 'list'>,<class 'list'>,8,8
37,YP2SgyEDDGmcmtZLz5nncT,"[-11, -7, -4, 9, -15, 17, -4, -17, 7, 11]","[-8, 1, -14, -2, 18, -2, 17, -8, -12, 7]",<class 'list'>,<class 'list'>,10,10
38,m5Nf52zBAJVhohXN2mtLzo,"[4, 3, -1, 7, 5, 9, 4, 1, -1, 9]","[1, 4, 5, 2, 4, 8, 9, 9, 9, 6]",<class 'list'>,<class 'list'>,10,10
39,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
40,kJGXDSuu8nSCNuy6BjX5i9,"[-16, 4, 3, -18, 1, 4, -10, -16, -4, -18, -8, -15]","[-19, 7, 1, 7, 3, -15, -10, -7, 7, -11, 3, 8]",<class 'list'>,<class 'list'>,12,12
41,msCr4CKXRGAApMyrasrZkt,"[-3, 2, 0, 1, -15, 5, 5, 4, 4, -5]","[1, 1, -9, 9, -8, -11, -6, 10, 8, -15]",<class 'list'>,<class 'list'>,10,10
42,aQMSf4TghHrLZL4HjWqbSU,"[8, -9, -3, 10, -5, 13, 2, 7]","[-11, 1, -11, 10, 10, -7, -4, -6]",<class 'list'>,<class 'list'>,8,8
43,noAEYf8ANNdhy2bNuowm9S,"[5, -3, -10, 15, 17, -13, -5, 3, 4, -6]","[12, -13, -2, 16, 13, 3, 0, 11, 0, 9]",<class 'list'>,<class 'list'>,10,10
44,izTt9h8BH5mnPgLZhYgijA,[14],[-8],<class 'list'>,<class 'list'>,1,1
45,Sa3rAaBPPNqF9hMA7ru2vE,"[-5, -6, -6, -7, -2, -3, 7, 1, 1, -7, 5]","[7, 8, 0, 5, -10, -2, -5, 1, -7, 7, 8]",<class 'list'>,<class 'list'>,11,11
46,ACAsF5AhxxYBekKtMdxL3f,"[3, 14, -2, -5, -2, -7, 9, -9, 9, -4]","[-5, 5, -2, 2, 0, -3, 7, 7, 11, -12]",<class 'list'>,<class 'list'>,10,10
47,YGjaPqzmaZPmBazkixyXrZ,"[7, -5, 1, -5, 5, -4, -4, -9, -11, -2, -11, -2, 7]","[5, -9, -1, -2, 6, -8, 6, -2, -3, -1, 6, -9, -4]",<class 'list'>,<class 'list'>,13,13
48,FcWh6t7SFNeMko7K8357qL,"[8, -3, 5, 8, 7, -1, -3, 9, 2, -7, -8, 6, -8, 5]","[-2, -6, 6, -1, -5, 5, 4, -1, 9, -4, 6, -1, 0, 10]",<class 'list'>,<class 'list'>,14,14
49,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
50,mbRTEtbCSLM7Cgy8XEKRrX,"[2, 3, 3]","[1, 9, -4]",<class 'list'>,<class 'list'>,3,3
51,3QUVJaCiX889Hd6iKvy5Lb,"[-17, 10, -14, -17, 8, -13, 3, -17, 4, -13, -16, -15]","[-18, -3, 1, -12, 9, -10, 0, -18, 10, -3, 5, 7]",<class 'list'>,<class 'list'>,12,12
52,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
53,RpjaGS9Udwm4eqfYmdEMY7,"[9, -5, 6, -2, -3, 3, -2, 3, 0, -4, 4, 8]","[3, 5, 9, 3, 4, 6, 7, -3, 8, 1, 2, 6]",<class 'list'>,<class 'list'>,12,12
54,janhXcZb8WdJdPzst8Qh2t,"[2, 11, 14, 8, 1, 6, 10, 12, 2, 16, 11, -6, 0, 7]","[6, 2, 14, 14, 1, 5, 5, -5, 5, 11, -1, 2, 13, -1]",<class 'list'>,<class 'list'>,14,14
55,2F4KcWMwF6UdU9whM44Aop,"[-7, -8]","[-3, -9]",<class 'list'>,<class 'list'>,2,2
56,2KuoKbRKSuLHLsmNh8dXq2,"[-6, -13, 4, 7, 11, -9, 16]","[9, 8, 7, 5, 1, -1, 1]",<class 'list'>,<class 'list'>,7,7
57,VoStavEMKr8SLVSaDQsss4,"[-11, -14, 6, -16, 1, 0, -4, -15, -13, -18]","[5, -2, 3, 4, -15, -14, -11, -19, -2, -5]",<class 'list'>,<class 'list'>,10,10
58,dCwz3ZutXHcoDmmCU9eebo,"[-14, 4, -8, -11, 5, -7, -14, -10, 4, -9, -8]","[-4, -6, -11, 5, 4, -10, 0, -6, 0, 5, -7]",<class 'list'>,<class 'list'>,11,11
59,VCmw7c7YY6sAbuyHjKssoB,"[-7, -12, -16, -14, 11, -15, -4, -1]","[1, 16, 8, -13, 0, -9, 13, -17]",<class 'list'>,<class 'list'>,8,8
60,gRm8RKMeSieJAUxQEFq9Rj,"[-16, -4, -3, 11, 1, 12, 11, 12, 13, 2]","[-13, 9, 7, 11, -6, -19, 3, 5, 7, -11]",<class 'list'>,<class 'list'>,10,10
61,FEB9mK5sPXsy9NGa8V7BdA,[-2],[4],<class 'list'>,<class 'list'>,1,1
62,fBRmdsuiWm44h4AmgggKJe,"[1, 12, 9, -17, -6, 5, -16, 10]","[1, 8, -6, -18, -8, -15, -16, 13]",<class 'list'>,<class 'list'>,8,8
63,BRmR2h7ChFv4MciTWLKtma,"[-16, -19, 16, 14, 1, 8, 14, -10, -11]","[-1, 3, -15, -5, 7, -13, -11, -3, 1]",<class 'list'>,<class 'list'>,9,9
64,J4dcgz3jKQd8ymcUApJ5PF,"[8, -5, -2, 10, -5, 2, 6, -3, 6]","[-4, 8, 11, -3, 10, 5, 4, 0, 7]",<class 'list'>,<class 'list'>,9,9
65,dwpqv8YZHSS9PKYPuJFYcf,"[7, -10, 16, -9, 4, -5, 8]","[-12, -8, 15, 15, -13, -1, -1]",<class 'list'>,<class 'list'>,7,7
66,GgTx3Cm5A32BGwZ6vWLXYs,"[2, -6, -12, -7, -10, -7, -4, 3, 5, -12, -6, -6]","[5, -12, -10, 3, -1, -2, 0, -10, -8, -12, -4, -6]",<class 'list'>,<class 'list'>,12,12
67,RBZCsvKzg4W8Gaj29rojCK,"[0, 5, -13, -9, -10, 1, -13, -7, -1, -6, -18, 3]","[-15, -12, 1, -8, -11, -2, -17, -8, -18, -2, -15, 4]",<class 'list'>,<class 'list'>,12,12
68,GjzcvFjQPAkFovzJBQX4XT,"[10, 0, -4, -6]","[4, 10, -7, -6]",<class 'list'>,<class 'list'>,4,4
69,nX7j8SS5yXNL4nmADqDVT7,"[1, 8, -6, 3, 7, 7, 3, -7]","[-2, 6, 0, -2, 1, -8, -3, -6]",<class 'list'>,<class 'list'>,8,8
70,93ztQRbKYKEwS6xjEcpqnC,[-8],[-10],<class 'list'>,<class 'list'>,1,1
71,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
72,2GuZzW7WtcE9m5RsQNNirh,"[0, -16, -16, -7, 15, -8, 15, 2, -2, 12, -7, -4, 11, -5]","[12, 12, -4, 10, 10, -14, -3, -4, -16, -7, -9, -6, 8, 8]",<class 'list'>,<class 'list'>,14,14
73,SBoX64WxT9AWH9qRgj5Jt9,"[3, -5, 3, -1, -3, -1, -4, -5, -5, 0, 1, -5, -2, -4]","[1, -4, 3, -5, 2, 4, -2, 2, 1, -4, 2, -4, -1, 4]",<class 'list'>,<class 'list'>,14,14
74,LcVXXiHnw8NuHSEv9S9KN4,"[-15, -16, -1, -10, -11, -15, -14]","[-13, -8, -6, -11, -16, -12, 4]",<class 'list'>,<class 'list'>,7,7
75,jtVbrsKJpro2App2kMZksJ,"[9, 1, 0, 6, -5]","[6, 6, -8, 6, 6]",<class 'list'>,<class 'list'>,5,5
76,3X67oEbPEmQZuqARYdh6qE,"[10, 12, 13, 6, 5, 10, 3, -7, -5, 15, 6, -7]","[7, 6, 17, -5, 2, -4, 1, 13, -7, 3, 16, 16]",<class 'list'>,<class 'list'>,12,12
77,hv4Ptbks6Bd74KZCgXVnXg,"[1, 7, 10, -1, -2, 2, 9]","[9, 2, 9, 10, 7, 6, -4]",<class 'list'>,<class 'list'>,7,7
78,Ym8M84LRvBcziot7cMi7TP,"[-10, 13, -8, 0, -10, 7, 3, 9]","[-3, 2, 9, 6, 12, -11, 4, 0]",<class 'list'>,<class 'list'>,8,8
79,MJiBCtnEnRfw6rf9AigCjP,"[4, -5, -7, 1, -4, -1, 2, 0, 9, 3]","[-9, -4, -4, 3, 8, -1, 2, 6, -3, 3]",<class 'list'>,<class 'list'>,10,10
80,4KxRCvJVnfP5okoKWhP5bQ,"[5, -2, 2, 4, 7, -3, 2, 7, -4, -5, 3, 3, -1]","[3, 3, -5, 4, -4, 6, 0, -1, -1, -3, 5, -4, 7]",<class 'list'>,<class 'list'>,13,13
81,YmobtwfmMh9TYnWQmHZzSy,"[-8, -10, 2, -5, -9, -3, 2, -5]","[5, 1, -10, 0, -7, -3, 5, -7]",<class 'list'>,<class 'list'>,8,8
82,SRg5pgHt4ys4p562tPXoyD,"[3, -11, -17, -10, 9, -9, -9]","[15, -11, 13, -18, -10, 2, 0]",<class 'list'>,<class 'list'>,7,7
83,dfQdNx8mt3X75TEhxxxJhe,"[12, 4, 14, 10, -7, 2, 8, 15, 10]","[8, 15, -5, 12, 8, 9, 8, 1, -1]",<class 'list'>,<class 'list'>,9,9
84,oAgLnbLN6sNGUr6xqPsH5o,"[-2, -12, 5, -9, -14, 2, 0, -2, -10]","[-6, -11, -5, -17, -12, -7, -3, -10, -2]",<class 'list'>,<class 'list'>,9,9
85,XcX3XyjmPbrn7FzgRcEwL6,"[14, -12, -4, 1, -2, -3, 6]","[17, -1, -6, 11, 16, 14, 18]",<class 'list'>,<class 'list'>,7,7
86,48si4joTM9epDM5mF4AzoV,"[-7, 14, 4, -14, -15, -13, -12, 7, -6, 13, 6]","[6, 1, -2, 10, -11, -11, 2, 7, -1, -14, -4]",<class 'list'>,<class 'list'>,11,11
87,kSA3msUsatTVUAwEvcHvuQ,"[2, -6, -8, 2, -4, 1]","[-2, 2, -5, -3, -6, -8]",<class 'list'>,<class 'list'>,6,6
88,8BvuPyCtcS3wNyHB5D6VUL,"[-16, -8, -2, -14, 1, -13, -17, -18, -16, -14, -9, -8, -17]","[-13, -10, -11, -8, -3, -13, -7, 6, -10, -5, -6, -12, -3]",<class 'list'>,<class 'list'>,13,13
89,BfHb6goSHVQHPFxL4gSehx,"[8, 15]","[-6, 13]",<class 'list'>,<class 'list'>,2,2
90,Kb53SmVFVFyjzfDnMRtdPE,"[3, -11, -5, 10, -12, -1, -1, 3, -3, -11, -12]","[12, -4, -2, 2, 11, -12, 12, 0, -7, -9, 1]",<class 'list'>,<class 'list'>,11,11
91,h5fNG97AFTv5ARtunqWirK,"[11, 4, 10, -1, -5]","[3, 8, 3, 5, -7]",<class 'list'>,<class 'list'>,5,5
92,KoLohDqou6btc7pEiqY5cR,"[-2, 4, -4, -11, -11, -12, 6, 1, 0, -6, 3, 3, -8, 1]","[1, -7, 1, -2, 0, -2, 4, -1, -4, 3, 3, -5, -9, 6]",<class 'list'>,<class 'list'>,14,14
93,XvQkwJymdULrQ8xtvUx44j,"[-19, -14, -10, -7, -15, -12, -12, -8, -8]","[6, -15, -8, -8, -9, 6, -4, 5, -17]",<class 'list'>,<class 'list'>,9,9
94,kwqtu24VyKx3CfVJiHGvgd,"[-16, -9, -3, -14, -6, -13, 1, -11, 4, -2]","[-9, -8, 9, -1, 9, 7, 1, -7, 1, -8]",<class 'list'>,<class 'list'>,10,10
95,WmgYfhEC6uXz5j5nSCNkoq,"[-18, -11]","[3, 3]",<class 'list'>,<class 'list'>,2,2
96,9fWn9xv2taRAHboJBhFRRa,"[-7, -4, -7, 14, 11, 11, 2, -5]","[-7, -3, -3, -2, 15, 10, 5, 7]",<class 'list'>,<class 'list'>,8,8
97,nVe24hp4aQmpX4pqZa47ng,[-9],[-3],<class 'list'>,<class 'list'>,1,1
98,6ZPNWXt8WRRzTEGCEDzJuS,"[5, 5, 8, -4, -8, 4, 7, -7, 2, 1, 3]","[-2, 6, 8, 5, -6, -2, 4, 4, -8, 1, 6]",<class 'list'>,<class 'list'>,11,11
99,FEQsL5yRjuDmM6DB2NZsgj,"[-10, -8, 10, 9, -7, 14, 17]","[-6, 4, 6, -8, 16, -17, -13]",<class 'list'>,<class 'list'>,7,7
100,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
101,7d2qDDGm7sT7PvKdzAR4uw,"[4, -8, -1, 5, 2]","[2, -8, 5, -4, 8]",<class 'list'>,<class 'list'>,5,5
102,mc7MhqTJjAymv69PRLWMS4,"[2, 2]","[-3, 1]",<class 'list'>,<class 'list'>,2,2
103,5emu6F7ZgUyJG9G83CfbZk,"[0, 3, 5, -7, 4, 11, -8, -11, -9, 7, 4, -3, -6]","[8, 6, -11, -9, -3, 6, 11, 4, -5, -9, 7, 4, -4]",<class 'list'>,<class 'list'>,13,13
104,eYkJ64LiKQTvYoVKh9XMzK,"[-2, -1, -7, -4, -5, -3]","[-3, -9, -7, -7, 3, -7]",<class 'list'>,<class 'list'>,6,6
105,GSKK6tFnbu6sjLx29acupz,"[11, 5, 10, 1, -2, 11, 7, 14, 14, -5, 4, 0, 7, 13]","[-2, 5, 8, 8, 8, 8, 12, 13, 9, -3, 5, -5, 6, -5]",<class 'list'>,<class 'list'>,14,14
106,TyGLX4yDZHj78mdJGN7guW,"[8, 3, -3, 15, 9, -2, 12]","[-3, 4, 4, 9, -13, -7, 3]",<class 'list'>,<class 'list'>,7,7
107,YkTQchwGtKEeeFHNEtQZzB,"[8, 5, -4, 8, 5, 6, 5, 0, 2, 0, -5, 6, 9]","[-6, 2, -5, -6, 5, 5, 5, 1, -3, -2, -8, -3, 2]",<class 'list'>,<class 'list'>,13,13
108,HhTTjRqgqKrFXo4joVxXRc,"[-5, -15, 0]","[-1, -14, -3]",<class 'list'>,<class 'list'>,3,3
109,VWaAut6gmJM7HCvs5PRS72,"[-13, -11, 14, -12, -2, 16, 11, -6, -13, 4, 2, 14, 4]","[-14, 14, -3, 1, 14, -4, 11, -11, -2, -8, -4, 4, -6]",<class 'list'>,<class 'list'>,13,13
110,7wbCxz4PGA9CAKMif4deMP,[4],[0],<class 'list'>,<class 'list'>,1,1
111,Dd9UARqGZEnocHjcKeknyG,"[-15, 0, -9, 3, 0]","[-8, -7, -11, -9, -9]",<class 'list'>,<class 'list'>,5,5
112,GMqsdpkR2dmfjCKupfFQJR,"[8, -2]","[1, -7]",<class 'list'>,<class 'list'>,2,2
113,bShcawWbQ2LqXystddRL2L,"[-6, -4, -1, -2, -11, -8, -10, 1, -2, 3, -9, 4, -9]","[-9, -2, -10, -9, -6, -8, -6, -4, -9, 0, -5, 2, -2]",<class 'list'>,<class 'list'>,13,13
114,RWELPNpGj3ido56HjDgtnV,"[8, 16, 3, 7, 12, -1]","[6, 11, 9, 13, -4, 11]",<class 'list'>,<class 'list'>,6,6
115,7WAaWc7hgRWB8VAutwhDgF,"[-4, 5, 11, -11, 4, 10]","[-13, 2, -5, 1, 6, 7]",<class 'list'>,<class 'list'>,6,6
116,JqUaW7k2MxJ5LrsiF2MfKP,"[-2, 8, 6, 9, 3, -9, -7, -4, 0, -2, -1, -2]","[-9, -3, 0, -7, 1, 7, -3, -5, 8, -2, -9, 5]",<class 'list'>,<class 'list'>,12,12
117,iK5gyDCBHUJzvxivxrGUki,"[6, 6, 3, -5, 6, 5]","[-5, -3, -2, 6, 3, 3]",<class 'list'>,<class 'list'>,6,6
118,PyrjK6iD8ZikLH7vNka8J7,"[-14, 14, -6, 5, -14, -17, 4, 3, -15, 13, 13, -12, -9]","[8, 8, 10, -17, 12, -10, -5, 9, 2, -18, 2, 14, -3]",<class 'list'>,<class 'list'>,13,13
119,nWcFCQsAyoQKxRy9yWeZnL,"[13, -3, -7, -3, 2]","[-2, -11, 4, -11, 12]",<class 'list'>,<class 'list'>,5,5
120,QNb49WMKhA5PhmBaaiJw35,"[10, -12]","[-9, -2]",<class 'list'>,<class 'list'>,2,2
121,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
122,JUZ6ChcFGKkkSS8Jd6BLyk,"[9, 5, -12, -12]","[0, 7, -14, -7]",<class 'list'>,<class 'list'>,4,4
123,7MX2tmUPJGTbAFLfgTY86q,"[12, 11, -4, 8, 14, -1]","[5, -5, 7, -8, -3, -10]",<class 'list'>,<class 'list'>,6,6
124,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
125,H4pFkj4eWevbixfax38bnM,"[-4, -4, -2, 7, 8, -3]","[3, 4, 6, 3, 7, 5]",<class 'list'>,<class 'list'>,6,6
126,JNZSfgmfi4A6bCMFbggKJh,"[3, -6, -2, -6, -3, 7]","[5, 3, 2, -5, 4, 4]",<class 'list'>,<class 'list'>,6,6
127,Ur6VWbb5hGUKzjhj8JjytY,"[0, 6, -3, 2]","[-9, 2, -3, -4]",<class 'list'>,<class 'list'>,4,4
128,9LhBUFiDnwwsEEACFu8szg,"[2, 4, 9, 6, 10]","[-5, 8, -1, 4, 6]",<class 'list'>,<class 'list'>,5,5
129,jG9aEZztVUc7W5fdkB6wfm,"[6, -7, 6, 0, -5, 1, -13, -8, 4]","[-5, 2, 10, -12, -6, -11, -4, 4, -6]",<class 'list'>,<class 'list'>,9,9
130,4r7T2wDPSpBxe6XwdX8p5Q,"[-5, -1, -3]","[5, -1, 6]",<class 'list'>,<class 'list'>,3,3
131,koNfnryeLeCzN6UYBvtpUP,"[-1, -2, -4, 4, -12, -7, -3, -10]","[-3, -9, -2, 7, 6, -12, 2, 2]",<class 'list'>,<class 'list'>,8,8
132,ncnD63B7FFNBAY76VMHm7H,"[-3, -6]","[-2, -6]",<class 'list'>,<class 'list'>,2,2
133,JTZyar5wtq2nwSDpGWSZ7M,"[9, 1, 8, 5, -10, 6]","[-12, 1, 8, 3, -4, -1]",<class 'list'>,<class 'list'>,6,6
134,egWjxete2jTVWniaMfCqcV,"[15, 1, 5, 13, 2]","[4, 5, 3, 4, 15]",<class 'list'>,<class 'list'>,5,5
135,3MWvkPNB6f5jEAkjxVwqE2,"[-8, 7, -6, -2, -14]","[7, -7, -6, -19, -9]",<class 'list'>,<class 'list'>,5,5
136,dZne993v9qE7Dpx9MU4E23,"[1, -1, 0, 14, 5, 8, -9, 11, -2, 8, 3, 2]","[9, 13, -11, 8, 14, 18, 5, 18, -4, -8, -9, -9]",<class 'list'>,<class 'list'>,12,12
137,F8H98gAb5755hqKMFHyzpe,"[-7, -7, 11, -8, -6, -1, -7]","[-4, 10, -8, 12, -10, -5, 10]",<class 'list'>,<class 'list'>,7,7
138,KrzSXRZZJSxnGuiHoEAszb,"[-8, 9, -3]","[7, 12, 10]",<class 'list'>,<class 'list'>,3,3
139,k9dWiCb8Ldn7SCPjSZZbML,"[6, 9, -2, -12, 10, 6, -3, -8, -15, -17, -6]","[3, -2, -2, -8, 6, 8, -6, 14, -8, -1, -17]",<class 'list'>,<class 'list'>,11,11
140,APT6CyrLksxosbWxqbF3Bh,"[9, 3, -8, -15, 2, -13, 8]","[-1, -6, -7, -16, -4, -8, -4]",<class 'list'>,<class 'list'>,7,7
141,TrVEu639to4khkiBqFKWRL,"[6, -3, 7, 2, -2]","[13, 4, 3, -7, -5]",<class 'list'>,<class 'list'>,5,5
142,TvoahDFvy8e5TsxTDJojfy,"[-1, -3, 8, -1, 16, -2]","[10, 18, 4, 14, 3, 16]",<class 'list'>,<class 'list'>,6,6
143,Cea5WNSjmv4u7M5Eez3oiB,"[6, 4, 11, 11, -4, -9]","[9, -8, 5, 10, -2, 14]",<class 'list'>,<class 'list'>,6,6
144,6wFRuEVNxJ5BqpCCjJRyYg,"[-3, -4, -10, -7, 6]","[-7, -8, -5, 2, -3]",<class 'list'>,<class 'list'>,5,5
145,HaGwGMmgwJtpCfpfagcQae,"[6, 2, -13, 0, -6, 7]","[-1, 0, 2, 8, 1, -1]",<class 'list'>,<class 'list'>,6,6
146,TXk7xAwLJpxaDcurwBMqvh,[11],[-10],<class 'list'>,<class 'list'>,1,1
147,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
148,KYjqeiSQueLGorUFjTa523,"[-2, -1, -6, 15, -4]","[7, 15, 6, 7, 3]",<class 'list'>,<class 'list'>,5,5
149,ZjTZpGGmd95VX7K3vpU9ng,"[0, 6, -8, 0, 6]","[7, -9, -8, -4, -4]",<class 'list'>,<class 'list'>,5,5
150,ciiaKX8m4M48AHWkayANxS,"[7, 9, -7, -7, -1, -8, 6, 0, 1]","[0, 2, 4, 1, -5, -7, 8, 1, -7]",<class 'list'>,<class 'list'>,9,9
151,Fzx6HWFcUaENUruQMbWNzK,"[-5, -5]","[-4, 2]",<class 'list'>,<class 'list'>,2,2
152,k5WZ89aMSfLQKMjGyhrktA,"[1, 8, 14, 11, -8, 11, 12, -8, -1]","[-8, -7, -1, 8, 7, -5, 7, 7, 1]",<class 'list'>,<class 'list'>,9,9
153,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
